"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Rights.permission","Name.contributor","Name.repository","Subject","Title","Alt ID.local","Date.normalized","Date.creation","Format.extent","Publisher.publisherName","Publisher.placeOfOrigin","Format.dimensions","Description.note","Opac url","Alt ID.oclc","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfpz","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_001.tif","1","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_001","stanford_oclc38813558_v1_001","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfpz",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfqg","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_002.tif","2","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_002","stanford_oclc38813558_v1_002","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfqg",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfr0","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_003.tif","3","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_003","stanford_oclc38813558_v1_003","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfr0",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfsh","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_004.tif","4","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_004","stanford_oclc38813558_v1_004","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfsh",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkft1","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_005.tif","5","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_005","stanford_oclc38813558_v1_005","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkft1",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfvj","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_006.tif","6","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_006","stanford_oclc38813558_v1_006","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfvj",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfw2","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_007.tif","7","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_007","stanford_oclc38813558_v1_007","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfw2",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfxk","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_008.tif","8","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_008","stanford_oclc38813558_v1_008","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfxk",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkfz3","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_009.tif","9","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_009","stanford_oclc38813558_v1_009","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkfz3",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg03","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_010.tif","10","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_010","stanford_oclc38813558_v1_010","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg03",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg1m","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_011.tif","11","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_011","stanford_oclc38813558_v1_011","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg1m",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg24","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_012.tif","12","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_012","stanford_oclc38813558_v1_012","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg24",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg3n","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_013.tif","13","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_013","stanford_oclc38813558_v1_013","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg3n",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg45","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_014.tif","14","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_014","stanford_oclc38813558_v1_014","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg45",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg5p","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_015.tif","15","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_015","stanford_oclc38813558_v1_015","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg5p",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkg66","ark:/21198/zz002jkcsj","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V1/stanford_oclc38813558_v1_016.tif","16","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v1_016","stanford_oclc38813558_v1_016","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkg66",""
