"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","viewingHint","Duplicate","Delete in Title","Type.typeOfResource","Rights.rightsHolderContact","Rights.servicesContact","Subject","Name.photographer","Type.genre","Name.creator","Relation.isPartOf","Name.repository","Date.creation","Format.extent","Title","Format.dimensions","Alt ID.local","Format.medium","AltTitle.descriptive","Description.note","Date.normalized","Finding Aid URL","Opac url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ammen (Daniel) Papers.  Collection 811","ark:/21198/z13f6782","ark:/21198/zz000937vq","2","Completed","Page","ammen/image/21198-zz000937vq_2407639_master.tif","1","","","","still image","","","","","","","Daniel Ammen Papers (Collection 811). UCLA Library Special Collections, Charles E. Young Research Library.","","","","front","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6782",""
"Ammen (Daniel) Papers.  Collection 811","ark:/21198/z1zp5qrx","ark:/21198/zz000937vq","2","Completed","Page","ammen/image/21198-zz000937vq_2407642_master.tif","2","","","","still image","","","","","","","Daniel Ammen Papers (Collection 811). UCLA Library Special Collections, Charles E. Young Research Library.","","","","back","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5qrx",""
