"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Visibility","Thumbnail","Subject.conceptTopic","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Name.subject","Subject","Subject.descriptiveTopic","Name.repository","Rights.servicesContact","Language","Name.photographer","Name.donor","Name.correspondent","Subject geographic","Name.recipient","Rights.rightsHolderContact","Name.creator","Local identifier","Title","Description.abstract","Description.note","Alt ID.local","Summary","Date.normalized","Date.creation","Format.extent","Coverage.geographic","Description.caption","Description.latitude","Description.longitude","Alt ID.url","AltTitle.other","Note","Relation.isPartOf","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1mx/ms26v63h","ark:/21198/zz0025p1mx","","","Page","gordo/image/yrlsc_gordonphotos_0021.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1mx%2Fms26v63h"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1qg/6k55zw9s","ark:/21198/zz0025p1qg","","","Page","gordo/image/yrlsc_gordonphotos_0024_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1qg%2F6k55zw9s"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1qg/gg24hh05","ark:/21198/zz0025p1qg","","","Page","gordo/image/yrlsc_gordonphotos_0024.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1qg%2Fgg24hh05"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1sh/5x47xx70","ark:/21198/zz0025p1sh","","","Page","gordo/image/yrlsc_gordonphotos_0026_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1sh%2F5x47xx70"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1sh/sd61r35c","ark:/21198/zz0025p1sh","","","Page","gordo/image/yrlsc_gordonphotos_0026.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1sh%2Fsd61r35c"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1z3/dt315b7z","ark:/21198/zz0025p1z3","","","Page","gordo/image/yrlsc_gordonphotos_0031_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1z3%2Fdt315b7z"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1z3/wp80hb50","ark:/21198/zz0025p1z3","","","Page","gordo/image/yrlsc_gordonphotos_0031.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1z3%2Fwp80hb50"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p23n/9888550t","ark:/21198/zz0025p23n","","","Page","gordo/image/yrlsc_gordonphotos_0035_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p23n%2F9888550t"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p23n/n100kv30","ark:/21198/zz0025p23n","","","Page","gordo/image/yrlsc_gordonphotos_0035.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p23n%2Fn100kv30"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p245/f320b861","ark:/21198/zz0025p245","","","Page","gordo/image/yrlsc_gordonphotos_0036_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p245%2Ff320b861"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p245/qc34pk0t","ark:/21198/zz0025p245","","","Page","gordo/image/yrlsc_gordonphotos_0036.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p245%2Fqc34pk0t"
