Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Picart (Bernard) Collection,ark:/21198/zz00097rz9,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz00097rz9-1-master.tif,1,,,,,,,,,cover,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097rz9
Picart (Bernard) Collection,ark:/21198/zz0013zp1p,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zp1p-1-master.tif,2,,,text,,,,,,inside front cover,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zp1p
Picart (Bernard) Collection,ark:/21198/zz0013zp26,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zp26-1-master.tif,3,,,text,,,,,,blank page 01,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zp26
Picart (Bernard) Collection,ark:/21198/zz0013zp3q,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zp3q-1-master.tif,4,,,text,,,,,,blank page 02,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zp3q
Picart (Bernard) Collection,ark:/21198/zz0013zp47,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zp47-1-master.tif,5,,,text,,,,,,blank page 03,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zp47
Picart (Bernard) Collection,ark:/21198/zz0013zp5r,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zp5r-1-master.tif,6,,,,,,,,,blank page 04,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zp5r
Picart (Bernard) Collection,ark:/21198/zz0013zsc9,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsc9-1-master.tif,7,,,,,,,,,half-title page,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsc9
Picart (Bernard) Collection,ark:/21198/zz0013zsdt,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsdt-1-master.tif,8,,,,,,,,,blank page 05,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsdt
Picart (Bernard) Collection,ark:/21198/zz0013zsfb,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsfb-1-master.tif,9,,,,,,,,,title page,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsfb
Picart (Bernard) Collection,ark:/21198/zz0013zsgv,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsgv-1-master.tif,10,,,,,,,,,blank page 06,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsgv
Picart (Bernard) Collection,ark:/21198/zz0013zshc,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zshc-1-master.tif,11,,,,,,,,,Table of Contents,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zshc
Picart (Bernard) Collection,ark:/21198/zz0013zsjw,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsjw-1-master.tif,12,,,,,,,,,Explanation of the Several Plates,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsjw
Picart (Bernard) Collection,ark:/21198/zz0013zskd,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zskd-1-master.tif,13,,,,,,,,,page 1,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zskd
Picart (Bernard) Collection,ark:/21198/zz001gq5s7,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz001gq5s7_1273065_master.tif,14,,,text,,,,,,page 95,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq5s7
Picart (Bernard) Collection,ark:/21198/zz0013zsmx,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsmx-1-master.tif,15,,,,,,,,,page 2,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsmx
Picart (Bernard) Collection,ark:/21198/zz0013zsnf,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zsnf-1-master.tif,16,,,,,,,,,page 3,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zsnf
Picart (Bernard) Collection,ark:/21198/zz0013zspz,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz0013zspz-1-master.tif,17,,,,,,,,,page 4,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zspz
Picart (Bernard) Collection,ark:/21198/zz00151w5c,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz00151w5c-1-master.tif,18,,,,,,,,,page 5,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00151w5c
Picart (Bernard) Collection,ark:/21198/zz00151w6w,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz00151w6w-1-master.tif,19,,,,,,,,,page 6,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00151w6w
Picart (Bernard) Collection,ark:/21198/zz00151w7d,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz00151w7d-1-master.tif,20,,,,,,,,,page 7,r,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00151w7d
Picart (Bernard) Collection,ark:/21198/zz00151w8x,ark:/21198/zz0002hb17,2,Completed,Page,picart/masters/21198-zz00151w8x-1-master.tif,21,,,,,,,,,page 8,v,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00151w8x
