"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0002hrqc","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrqc-1-master.tif","37","","","text","","","","","","page 020","v","37","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrqc"
"Picart (Bernard) Collection","ark:/21198/zz0002hsj8","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hsj8-1-master.tif","38","","","text","","","","","","page 020a","r","38","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hsj8"
"Picart (Bernard) Collection","ark:/21198/zz0002hs1h","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs1h-1-master.tif","39","","","still image","","","","","","The CEREMONY of washing the feet of twelve POOR PERSONS on HOLY-THURSDAY.","v","39","The CEREMONY of washing the feet of twelve POOR PERSONS on HOLY-THURSDAY.The ADORATION of the CROSSE on GOOD FRIDAY.","page 020b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs1h"
"Picart (Bernard) Collection","ark:/21198/zz0002hrvf","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrvf-1-master.tif","40","","","text","","","","","","page 021","r","40","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrvf"
"Picart (Bernard) Collection","ark:/21198/zz0002hshr","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hshr-2-master.tif","41","","","text","","","","","","page 022","v","41","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hshr"
"Picart (Bernard) Collection","ark:/21198/zz0002hs5k","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs5k-1-master.tif","42","","","text","","","","","","page 023","r","42","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs5k"
"Picart (Bernard) Collection","ark:/21198/zz0002hrtx","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrtx-1-master.tif","43","","","text","","","","","","page 024","v","43","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrtx"
"Picart (Bernard) Collection","ark:/21198/zz0002hs00","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs00-1-master.tif","44","","","still image","","","","","","The HOLY OILS carried in PROCESSION.","r","44","The HOLY OILS carried in PROCESSION.  BENEDICTION of the HOLY OILS.  The reception of a BISHOP when he visits his DIOCES.  The BISHOP gives his PASTORAL CHARGE. The BISHOP'S hand KISS'DThe BISHOPS CORPS lies in the CHURCH.","page 024a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs00"
"Picart (Bernard) Collection","ark:/21198/zz0002hsb5","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hsb5-1-master.tif","45","","","text","","","","","","page 024b","v","45","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hsb5"
"Picart (Bernard) Collection","ark:/21198/zz0002hspb","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hspb-1-master.tif","46","","","text","","","","","","page 025","r","46","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hspb"
