"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0002m7kd","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7kd-1-master.tif","67","","","text","","","","","","page 046","v","67","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7kd"
"Picart (Bernard) Collection","ark:/21198/zz0002m777","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m777-1-master.tif","68","","","still image","","","","","","The MANNER of carrying the B. SACRAMENT when the POPE is upon a journey.","r","68","The MANNER of carrying the B. SACRAMENT when the POPE is upon a journey.","page 046a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m777"
"Picart (Bernard) Collection","ark:/21198/zz0002m7sh","ark:/21198/zz0002hb0q","2","Completed","Page","","69","","","","","","","","","page 046b [need image]","v","69","","","","","","","","","","","","","","","","","","","missing",""
"Picart (Bernard) Collection","ark:/21198/zz0002m7hc","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7hc-1-master.tif","70","","","text","","","","","","page 047","r","70","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7hc"
"Picart (Bernard) Collection","ark:/21198/zz0002m78r","ark:/21198/zz0002hb0q","2","Completed","Page","","71","","","text","","","","","","page 048 [need image]","v","71","","","","","","","","","","","","","","","","","","","missing",""
"Picart (Bernard) Collection","ark:/21198/zz0002m735","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m735-1-master.tif","72","","","text","","","","","","page 049","r","72","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m735"
"Picart (Bernard) Collection","ark:/21198/zz0002m7dt","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7dt-1-master.tif","73","","","text","","","","","","page 050","v","73","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7dt"
"Picart (Bernard) Collection","ark:/21198/zz0002m6wk","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m6wk-1-master.tif","74","","","text","","","","","","page 051","r","74","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m6wk"
"Picart (Bernard) Collection","ark:/21198/zz0002m7qg","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7qg-1-master.tif","75","","","text","","","","","","page 052","v","75","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7qg"
"Picart (Bernard) Collection","ark:/21198/zz0002m7c9","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7c9-1-master.tif","76","","","text","","","","","","page 053","r","76","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7c9"
"Picart (Bernard) Collection","ark:/21198/zz0002m714","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m714-1-master.tif","77","","","text","","","","","","page 054","v","77","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m714"
"Picart (Bernard) Collection","ark:/21198/zz0002m6v2","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m6v2-1-master.tif","78","","","text","","","","","","page 055","r","78","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m6v2"
"Picart (Bernard) Collection","ark:/21198/zz0002m76q","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m76q-1-master.tif","79","","","text","","","","","","page 056","v","79","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m76q"
"Picart (Bernard) Collection","ark:/21198/zz0002m7jw","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7jw-1-master.tif","80","","","text","","","","","","page 057","r","80","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7jw"
"Picart (Bernard) Collection","ark:/21198/zz0002m5hd","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m5hd-1-master.tif","81","","","text","","","","","","page 058","v","81","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m5hd"
"Picart (Bernard) Collection","ark:/21198/zz0002m72n","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m72n-1-master.tif","82","","","text","","","","","","page 059","r","82","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m72n"
"Picart (Bernard) Collection","ark:/21198/zz0002m7r0","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7r0-1-master.tif","83","","","text","","","","","","page 060","v","83","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7r0"
"Picart (Bernard) Collection","ark:/21198/zz0002m6x3","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m6x3-1-master.tif","84","","","text","","","","","","page 061","r","84","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m6x3"
"Picart (Bernard) Collection","ark:/21198/zz0002m7fb","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7fb-1-master.tif","85","","","text","","","","","","page 062","v","85","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7fb"
"Picart (Bernard) Collection","ark:/21198/zz0002m7t1","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7t1-1-master.tif","86","","","text","","","","","","page 063","r","86","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7t1"
"Picart (Bernard) Collection","ark:/21198/zz0002m7nf","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7nf-1-master.tif","87","","","text","","","","","","page 064","v","87","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7nf"
"Picart (Bernard) Collection","ark:/21198/zz0002m7gv","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7gv-1-master.tif","88","","","text","","","","","","page 065","r","88","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7gv"
"Picart (Bernard) Collection","ark:/21198/zz0002m798","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m798-1-master.tif","89","","","text","","","","","","page 066","v","89","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m798"
"Picart (Bernard) Collection","ark:/21198/zz0002m9jv","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m9jv-1-master.tif","90","","","text","","","","","","page 067","r","90","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m9jv"
"Picart (Bernard) Collection","ark:/21198/zz0002m9gt","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m9gt-1-master.tif","91","","","text","","","","","","page 068","v","91","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m9gt"
"Picart (Bernard) Collection","ark:/21198/zz0002m9c8","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m9c8-1-master.tif","92","","","text","","","","","","page 069","r","92","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m9c8"
"Picart (Bernard) Collection","ark:/21198/zz0002m997","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m997-1-master.tif","93","","","text","","","","","","page 070","v","93","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m997"
"Picart (Bernard) Collection","ark:/21198/zz0002m96p","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m96p-1-master.tif","94","","","still image","","","","","","BAPTISM ADMINISTERED by a PRIEST.","r","94","BAPTISM ADMINISTERED by a PRIEST.  BAPTISM ADMINISTERED by a MIDWIFE.","page 070a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m96p"
"Picart (Bernard) Collection","ark:/21198/zz0002m94n","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m94n-1-master.tif","95","","","text","","","","","","page 070b","v","95","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m94n"
