"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz000971z5","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000971z5-1-master.tif","230","","","text","","","","","","page 211","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000971z5"
"Picart (Bernard) Collection","ark:/21198/zz00097205","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097205-1-master.tif","231","","","text","","","","","","page 212","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097205"
"Picart (Bernard) Collection","ark:/21198/zz0009721p","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009721p-1-master.tif","232","","","text","","","","","","page 213","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009721p"
"Picart (Bernard) Collection","ark:/21198/zz00097226","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097226-1-master.tif","233","","","text","","","","","","page 215 [p. 214]","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097226"
"Picart (Bernard) Collection","ark:/21198/zz0009723q","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009723q-1-master.tif","234","","","text","","","","","","page 216 [p. 215]","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009723q"
"Picart (Bernard) Collection","ark:/21198/zz00097247","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097247-1-master.tif","235","","","text","","","","","","page 216","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097247"
"Picart (Bernard) Collection","ark:/21198/zz0009725r","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009725r-1-master.tif","236","","","text","","","","","","page 217","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009725r"
"Picart (Bernard) Collection","ark:/21198/zz00097268","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097268-1-master.tif","237","","","text","","","","","","page 218","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097268"
"Picart (Bernard) Collection","ark:/21198/zz0009727s","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009727s-1-master.tif","238","","","text","","","","","","page 219","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009727s"
"Picart (Bernard) Collection","ark:/21198/zz00097289","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097289-1-master.tif","239","","","text","","","","","","page 220","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097289"
