"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0002mt3c","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0002mt3c-1-master.tif","1","","","text","","","","","","front cover","r","1","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002mt3c"
"Picart (Bernard) Collection","ark:/21198/zz0002mt5d","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0002mt5d-1-master.tif","2","","","text","","","","","","inside front cover","v","2","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002mt5d"
"Picart (Bernard) Collection","ark:/21198/zz000980dv","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980dv-1-master.tif","3","","","text","","","","","","blank page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980dv"
"Picart (Bernard) Collection","ark:/21198/zz000980fc","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980fc-1-master.tif","4","","","text","","","","","","blank page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980fc"
"Picart (Bernard) Collection","ark:/21198/zz000980gw","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980gw-1-master.tif","5","","","text","","","","","","blank page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980gw"
"Picart (Bernard) Collection","ark:/21198/zz000980hd","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980hd-1-master.tif","6","","","text","","","","","","blank page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980hd"
"Picart (Bernard) Collection","ark:/21198/zz000980jx","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980jx-1-master.tif","7","","","text","","","","","","half title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980jx"
"Picart (Bernard) Collection","ark:/21198/zz000980kf","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980kf-1-master.tif","8","","","text","","","","","","half title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980kf"
"Picart (Bernard) Collection","ark:/21198/zz000980mz","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980mz-1-master.tif","9","","","text|~|still image","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980mz"
"Picart (Bernard) Collection","ark:/21198/zz000980ng","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980ng-1-master.tif","10","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980ng"
