Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001775zn,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017760n,individuals,,private,,text,copyrighted,unpublished,unknown,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),,Holiday Season Campaign - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,"London, Julia",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure of whether or not permission is necessary to obtain as author was writing on behalf of WAVAW.,,Letter to WAVAW Chapters and Supporters Regarding Holiday Season Campaign,"November 5, 1978",,,1978-11-05,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001775zn/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017762p,ark:/21198/zz000s2z4b,2,Completed,Work,,4,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177636,individuals,,,,text,copyrighted,unpublished,Y,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Holiday Season Campaign - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,June L. Mazer Lesbian Archives,,,Letter to WAVAW Members and Supporters Regarding Holiday Season Campaign,"November 21, 1978",,,1978-11-21,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017762p/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177678,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017768s,individuals,,,,text,copyrighted,unpublished,Y,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Holiday Season Campaign - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,June L. Mazer Lesbian Archives,,,Press Release - Holiday Season Campaign,"October 10, 1978",,,1978-10-09,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00177678/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001776bt,ark:/21198/zz000s2z4b,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776dv,individuals,,private,,text,copyrighted,unpublished,unknown,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),,Holiday Season Campaign - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,"Howarth, Joan",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure of whether or not permission is necessary to obtain as author was writing on behalf of WAVAW.,,Letter to WAVAW National Coordinating Committee Regarding Holiday Season Campaign,"December 13, 1978",,,1978-12-13,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001776bt/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001776fc,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776gw,individuals,,private,,text,copyrighted,unpublished,Y,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Holiday Season Campaign - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,June L. Mazer Lesbian Archives,Rights.statementLocal: Possible copyright issue as flyer reproduces ads.,,Does Your Gift Do Violence to Women? Flyer,1978,,,1978,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001776fc/manifest
