"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Subject","Relation.isPartOf","Name.repository","Name.photographer","Name.creator","Title","Alt ID.local","Format.dimensions","Format.extent","Date.creation","Description.contents","Description.abstract","AltTitle.other","Opac url","Date.normalized","Bucketeer State","IIIF Access URL"
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093kw2","","2","Completed","Collection","","","","","","","Stage photography--New York (State)--New York--Archival resources|~|Stage photography--California, Southern--Archival resources|~|Robinson, Jerome--Archives|~|Photographers--United States--Archival resources","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","","Robinson, Jerome","Jerome Robinson Theatrical Photographs Collection, ca. 1930-1955","Collection 1203","","","circa 1930-1955","Collection consists of approximately 10,000 photographs and 20,000 negatives taken by Jerome Robinson of theatrical performances and performers in New York, Pasadena, and Los Angeles.","Jerome Robinson (1910-1976) was the official photographer for the D'Oyly Carte Opera Company in New York (1930-31), published a book titled, The complete plays of Gilbert and Sullivan (1938), joined the staff of Theater arts and Stage magazines, and did theater features for Life magazine. He moved to Hollywood, California (1943) and worked as the official photographer for the Pasadena Playhouse (1943-58). He was called before the House Un-American Activities Committee (HUAC) in 1950 and declared an unfriendly witness because he refused to testify. He never worked in a motion picture studio again, although his career in the theater continued until 1958. The collection consists of approximately 10,000 photographs and 20,000 negatives taken by Robinson of theatrical performances and performers in New York, Pasadena, and Los Angeles.","Jerome Robinson Theatrical Photographs Collection|~|Jerome Robinson Photographs Collection","2723129","1929/1960","",
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093r43","ark:/21198/zz00093kw2","2","Completed","Work","robinson/masters/21198-zz00093r43-1-master.tif","1","","","still image","Black-and-white photographs","Stage photography--California, Southern","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Robinson, Jerome","","Girl of the Golden West [?] play production, Indian woman serving couple at table","clus_1203_b19_f8_01","20 x 25 cm. (8 x 10 in.)","1 photographic print","n.d.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093r43"
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093r5m","ark:/21198/zz00093kw2","2","Completed","Work","robinson/masters/21198-zz00093r5m-1-master.tif","2","","","still image","Black-and-white photographs","Stage photography--California, Southern","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Robinson, Jerome","","Girl of the Golden West [?] play production, Mary Robbins character [?] at bar flanked by two men","clus_1203_b19_f8_05","20 x 25 cm. (8 x 10 in.)","1 photographic print","n.d.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093r5m"
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093r64","ark:/21198/zz00093kw2","2","Completed","Work","robinson/masters/21198-zz00093r64-1-master.tif","3","","","still image","Black-and-white photographs|~|Panoramic photographs","Stage photography--California, Southern","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Robinson, Jerome","","Girl of the Golden West [?] play production, panorama saloon scene woman at podium and Indian couple seated","clus_1203_b19_f8_04","20 x 25 cm. (8 x 10 in.)","1 photographic print","n.d.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093r64"
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093r7n","ark:/21198/zz00093kw2","2","Completed","Work","robinson/masters/21198-zz00093r7n-1-master.tif","4","","","still image","Black-and-white photographs|~|Panoramic photographs","Stage photography--California, Southern","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Robinson, Jerome","","Girl of the Golden West [?] play production, panorama saloon scene Indian couple standing","clus_1203_b19_f8_03","20 x 25 cm. (8 x 10 in.)","1 photographic print","n.d.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093r7n"
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093r85","ark:/21198/zz00093kw2","2","Completed","Work","robinson/masters/21198-zz00093r85-1-master.tif","5","","","still image","Black-and-white photographs|~|Panoramic photographs","Stage photography--California, Southern","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Robinson, Jerome","","Girl of the Golden West [?] play production, panorama of men singing in saloon","clus_1203_b19_f8_02","20 x 25 cm. (8 x 10 in.)","1 photographic print","n.d.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093r85"
"Robinson (Jerome) Theatrical Photographs Collection.  Collection 1203","ark:/21198/zz00093r9p","ark:/21198/zz00093kw2","2","Completed","Work","robinson/masters/21198-zz00093r9p-1-master.tif","6","","","still image","Black-and-white photographs","Stage photography--California, Southern","Jerome Robinson Theatrical Photographs Collection. Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Robinson, Jerome","","Girl of the Golden West [?] play production, Mary Robbins character [?] handing money to sherriff","clus_1203_b19_f8_06","20 x 25 cm. (8 x 10 in.)","1 photographic print","n.d.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093r9p"
