"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.permission","Name.subject","Name.photographer","Rights.copyrightStatus","Alt ID.local","Relation.isPartOf","Title","Date.creation","Format.dimensions","Format.extent","Bucketeer State","IIIF Access URL"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jnqk5","","1","Completed","Collection","","","","","","","Y","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","","","Arkatov (James) World Music Photographs","","","","",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxqhq","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxqhq_2366938_master.tif","","","","still image","color photographs","","Khan, Shujaat","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp001","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Ustad Shujaat Khan","03/1997","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxqj7","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxqj7_2367133_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp002","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of India Ensemble","05/15/2008","4 x 6 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxqj7"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxqkr","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxqkr_2367145_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp003","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Mexico Ensemble","05/15/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxszd","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxszd_2367165_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp004","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Bali Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt0d","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt0d_2367180_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp005","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of India Ensemble","05/17/2008","4 x 6 in.","1 photograph : b&w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt0d"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt1x","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt1x_2367183_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp006","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Mexico Ensemble","05/15/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt2f","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt2f_2367210_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp015","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Mexico Ensemble","05/15/2008","4 x 6 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt2f"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt3z","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt3z_2367204_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp013","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Bali Ensemble","05/17/2008","3 1/2 x 5 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt3z"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt4g","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt4g_2367213_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp016","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Bali Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt4g"
