Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.generalNote,Name.repository,Subject,Rights.countryCreation,Date.normalized,Title,Date.creation,Alt ID.local,Coverage.geographic,Description.note,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxrxb,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxrxb_2105936_master.tif,,,,,still image,color photographs,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Silver Dollar Bar|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,Photograph of spent casing,1970,RSSP_CSRC_ENV_1_09,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxrxb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxrxb/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxrzv,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxrzv_2105813_master.tif,,,,,still image,color photographs,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,"Chicano Moratorium|~|Silver Dollar Bar|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,Alley behind the Silver Dollar,1970,RSSP_CSRC_2H-007,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxrzv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxrzv/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs0v,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxs0v_2107551_master.tif,,,,,still image,black-and-white photograph,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Los Angeles County (Calif.). Sheriff's Department,"Chicano Moratorium|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,Smoke behind Helmick's Firestone Tires store,1970,RSSP_CSRC_ENV_2A_Roll_1-020,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs0v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs0v/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs1c,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxs1c_2105924_master.tif,,,,,still image,color photographs,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Silver Dollar Bar|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,Photograph of spent casing,1970,RSSP_CSRC_ENV_1_05,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs1c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs1c/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs2w,ark:/21198/zz002bqkb1,1,In progress,Work,rsalazar/image/21198-zz002cxs2w_2105852_master.tif,,private,,,still image,color photographs,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,J. Green Jeweler on Whittier Boulevard,1970,RSSP_CSRC_2H-Roll_4-007,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs2w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs2w/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs3d,ark:/21198/zz002bqkb1,1,In progress,Work,rsalazar/image/21198-zz002cxs3d_2176133_master.tif,,private,,,still image,black-and-white photograph,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,"Chicano Moratorium|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,RSSP_CSRC_2B-038 [METADATA],1970,RSSP_CSRC_2B-038,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs3d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs3d/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs4x,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxs4x_2107581_master.tif,,,,,still image,black-and-white photograph,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,View of Whittier Boulevard,1970,RSSP_CSRC_ENV_2A_Roll_03-1A,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs4x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs4x/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs5f,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxs5f_2105903_master.tif,,,,,still image,black-and-white photograph,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,Aerial view of East Los Angeles,1970,RSSP_CSRC_ENLARGEMENT_05,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs5f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs5f/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs6z,ark:/21198/zz002bqkb1,2,Completed,Work,rsalazar/image/21198-zz002cxs6z_2105942_master.tif,,,,,still image,color photographs,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Silver Dollar Bar|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,Photograph of spent casing,1970,RSSP_CSRC_ENV_1_11,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs6z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs6z/manifest
Los Angeles County Sheriff's Department Investigative Files Pertaining to the Death of Ruben Salazar,ark:/21198/zz002cxs7g,ark:/21198/zz002bqkb1,1,In progress,Work,rsalazar/image/21198-zz002cxs7g_2107554_master.tif,,private,,,still image,black-and-white photograph,copyrighted,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,"Chicano Moratorium|~|Los Angeles County Sheriff’s Office|~|Salazar, Ruben, 1928-1970",,1970,RSSP_CSRC_ENV_2A_Roll_1-024 [INCOMPLETE],1970,RSSP_CSRC_ENV_2A_Roll_1-024,"East Los Angeles, CA",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxs7g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxs7g/manifest
