Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Name.repository,Subject,Name.creator,Title,Alt ID.local,Alt ID.oclc,Description.latitude,Description.longitude,Date.creation,Format.dimensions,Relation.isPartOf,Coverage.geographic,Description.note,Format.extent,Date.normalized,AltTitle.other,Publisher.publisherName,Publisher.placeOfOrigin
Southern African Maps in Books,ark:/21198/zz0028tkq7,,2,Completed,Collection,,,,,,,,,,,,,Southern African Maps in Books,,,,,,,,,,,,,,
Southern African Maps in Books,ark:/21198/zz002h6xfr,ark:/21198/zz0028tkq7,1,In progress,Work,southe/image/21198-zz002h6xfr_2251512_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"General chart of the Colony of the Cape of Good Hope, constructed from bearings, estimations of distances & frequent observations for Latitudes in travelling thro' the Country in the years 1797 & 1798…",,2024708,,,1800,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,iiiVolume 1,44.5 x 68 cm,,,,
