"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Name.creator","Alt ID.local","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL"
"Bradley (Tom, Mayor) Administrative Papers. Collection 293","ark:/21198/zz001z9mpc","","1","In progress","Collection","","","","","","Bradley, Tom, $d 1917-1998","","","1973-1993","Collection contains the records of the administrative activities of Los Angeles Mayor Tom Bradley, whose tenure in office covered an unprecedented five terms. Although the bulk of the collection covers Bradley's years as mayor (1973-1993), the collection contains some material from Bradley's service as a LA City Councilman (1963-1973) as well as materials related to his candidacy for Governor of CA in 1983 and 1986. The collection covers a variety of subjects related to events and issues in Los Angeles, including transportation, water, offshore oil drilling, education, the 1984 Olympic Games, the Los Angeles Convention Center LA Produce and Flower Markets, and civil unrest (LA Riots). The collection contains records in a variety of formats, including correspondence, photographs, reports, publications, architectural drawings, cassette recordings, video tapes, and memorabilia.","",
"Bradley (Tom, Mayor) Administrative Papers. Collection 293","ark:/21198/zz0025dtjd","ark:/21198/zz001z9mpc","2","Completed","Work","bradl/image/21198-zz0025dtjd_1685508_master.tif","1","","","text","Bradley, Tom, $d 1917-1998","Box 3691, folder 7","boycott flyer","November 18, 1989","","failed",
