"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Language","Relation.isPartOf","Name.subject","Subject","Name.repository","Name.creator","Title","Alt ID.local","Date.creation","Description.abstract","Date.normalized","Finding Aid URL","AltTitle.other","Opac url","Bucketeer State","IIIF Access URL"
"Schaefer (George) Papers.  Collection 588","ark:/21198/zz0009gsww","","2","Completed","Collection","","","","","","","","George Schaefer Papers (Collection 588). Department of Special Collections, Charles E. Young Research Library, UCLA.","Compass Productions|~|Hallmark Hall of Fame Productions, Inc.|~|Schaefer, George, 1920- --Archives","Television producers and directors--United States--Archival resources","University of California, Los Angeles. $b Library Special Collections","Schaefer, George, 1920- ","George Schaefer papers, 1951-1991","Collection 588","1951-1991","The collection consists of George Schaefer's correspondence and production files related to over eighty television, theatre, and film projects. Files include production materials, clippings, publicity kits, scripts, and business correspondence, including correspondence originating from Compass Productions and Foote, Cone, and Belding. The bulk of material relates to Schaefer's directorial and production responsibilities for approximately 40 Hallmark Hall of Fame television productions. The files also include scrapbooks of publicity materials and clippings, posters, a portion of his many awards and honors, and small amount of teaching material from Schaefer's tenure as Department Chair and Associate Dean of the UCLA School of Theatre, Film and Television.|~|George Schaefer (1920-1997) earned his B.A. from Lafayette College before attending Yale Drama School for one year. He enlisted in the army during World War II, where he directed over fifty plays for the Central Pacific Base Command. Following the war, he headed to New York to continue his work in the theatre. In 1953 he began his collaboration with Hallmark Hall of Fame television productions, directing a live televised stage performance of Hamlet. Schaefer eventually produced and/or directed 57 Hallmark productions, while he continued his work in theatre, feature films, and other television movies. His career spanned over 60 years, during which time he received many accolades. In 1985, he became the chair of the UCLA School of Theatre, Film, and Television. Two years later, he became Associate Dean. Schaefer died following a long illness in 1991.","1951-1991","http://www.oac.cdlib.org/findaid/ark:/13030/kt809nd1sw","George Schaefer papers","5163195","",
"Schaefer (George) Papers.  Collection 588","ark:/21198/zz0009mg3f","ark:/21198/zz0009gsww","2","Completed","Work","schaefer/masters/21198-zz0009mg3f-1-master.tif","1","","","still image","posters","eng","","","","","","To Broadway With Love [poster]","clus_588_b74_f8_001","1964","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mg3f"
