"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Name.repository","Subject","Type.genre","Date.normalized","Date.creation","Description.note","Format.medium","Coverage.geographic","Relation.isPartOf","Format.dimensions","Title","Alt ID.local","Publisher.publisherName","Format.extent","Opac url","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz0019s259","","2","Completed","Collection","","","","","still image","copyrighted","","University of California, Los Angeles. $b Library Special Collections","Farmhouses--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|Railroad stations--Oklahoma--Red Bird|~|Storefronts--Oklahoma--Red Bird|~|African Americans $z Oklahoma $z Red Bird","black-and-white negatives","1900/1910","c. 1906?","Red Bird is located in Wagoner County, Oklahoma. The town was settled before 1900 by the Barber and Ruffin families.","glass plate negatives","Red Bird (Okla.)","","5 in x 7 in","Red Bird, Oklahoma glass plate negatives.","Collection 1838","Red Bird Investment Company","12 glass plate negatives","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7542772","Group of 12 original glass plate negatives, depicting early views of homes, businesses and townspeople in the all black town of Red Bird, OK.","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019s259"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001bpf7q","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001bpf7q_754361_master.tif","","","","still image","copyrighted","zxx","","Grocery stores--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|African American men $z Oklahoma $z Red Bird","black-and-white negatives","1900/1910","[circa 1906?]","Six African American men sitting outside of a grocery store. Signs in the windows advertise the sale of dry goods, notions, groceries, and cigars.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Grocery store in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bpf7q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bpf7q/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d0ffp","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d0ffp_754365_master.tif","","","","still image","copyrighted","zxx","","Grain elevators--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|African Americans $z Oklahoma $z Red Bird","black-and-white negatives","1900/1910","[circa 1906?]","A grain elevator, utility pole, several small buildings, a barn and scattered pipes.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Grain elevator in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0ffp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d0ffp/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24k9","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24k9_758446_master.tif","","","","still image","copyrighted","zxx","University of California, Los Angeles. $b Library Special Collections","Automobiles--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|Railroad stations--Oklahoma--Red Bird|~|African American men $z Oklahoma $z Red Bird|~|African American children $z Oklahoma $z Red Bird","black-and-white negatives","1900/1910","[circa 1906?]","Automobile with man in driver's seat and four children in the back seat parked in front of a railroad station.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Railroad Station in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24k9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24k9/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24mt","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24mt_758449_master.tif","","","","still image","copyrighted","zxx","University of California, Los Angeles. $b Library Special Collections","Automobiles--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|Railroad stations--Oklahoma--Red Bird|~|African American men $z Oklahoma $z Red Bird|~|African American children $z Oklahoma $z Red Bird","black-and-white negatives","","1900/1910|~|[circa 1906?]","Automobile with man in driver's seat and four children in the back seat parked in front of a railroad station.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Railroad Station in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24mt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24mt/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24nb","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24nb_758452_master.tif","","","","still image","copyrighted","zxx","University of California, Los Angeles. $b Library Special Collections","Carts & wagons--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|Storefronts--Oklahoma--Red Bird|~|African Americans $z Oklahoma $z Red Bird|~|Houses--Oklahoma--Red Bird","Composite photographs|~|black-and-white negatives","1900/1910","[circa 1906?]","Double exposure showing men and women of Red Bird standing in front of a house with a carriage.  The fainter exposure shows a store with a sign advertising tobacco.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","House and stores in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24nb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24nb/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24pv","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24pv_758455_master.tif","","","","still image","copyrighted","zxx","University of California, Los Angeles. $b Library Special Collections","Red Bird (Okla.)|~|Storefronts--Oklahoma--Red Bird|~|African American men $z Oklahoma $z Red Bird","black-and-white negatives","1900/1910","[circa 1906?]","Six men pose in front of a store front while two other figures lean out of a window in an adjacent building. Signs on the storefronts advertise Arm & Hammer Soda; Kantrip overalls, jumpers, and pants; and smoking & chewing tobaccos.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Stores in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24pv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24pv/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24qc","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24qc_758458_master.tif","","","","still image","copyrighted","zxx","University of California, Los Angeles. $b Library Special Collections","Farmhouses--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|African Americans $z Oklahoma $z Red Bird","Composite photographs|~|black-and-white negatives","1900/1910","[circa 1906?]","Double exposure with two houses (or two views of the same house?) visible and two figures posing in front.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Farmhouse in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24qc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24qc/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24rw","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24rw_758473_master.tif","","","","still image","copyrighted","zxx","University of California, Los Angeles. $b Library Special Collections","Farmhouses--Oklahoma--Red Bird|~|Red Bird (Okla.)|~|African Americans $z Oklahoma $z Red Bird","black-and-white negatives","1900/1910","[circa 1906?]","A man in overalls and two women standing on the porch of a farmhouse.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Farmhouse in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24rw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24rw/manifest"
"Red Bird, Oklahoma glass plate negatives. Collection 1838","ark:/21198/zz001d24sd","ark:/21198/zz0019s259","2","Completed","Work","redbird/masters/21198-zz001d24sd_758485_master.tif","","","","still image","copyrighted","eng","University of California, Los Angeles. $b Library Special Collections","Farmhouses--Oklahoma--Red Bird|~|Red Bird (Okla.)","black-and-white negatives","1900/1910","[circa 1906?]","Farmhouse in a field.","glass plate negative","Red Bird (Okla.)","Red Bird, Oklahoma glass plate negatives. (Collection 1838) Department of Special Collections, Charles E. Young Research Library, UCLA","5 in x 7 in","Farmhouse in Red Bird, Oklahoma","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d24sd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d24sd/manifest"
