Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Name.creator,Name.donor,Rights.rightsHolderContact,Subject,Rights.statementLocal,Name.repository,Alt ID.local,Title,Date.normalized,Format.extent,AltTitle.descriptive,Date.creation,Relation.isPartOf,AltTitle.other,Description.note,AltTitle.uniform,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Gronk Digital Image Collection,ark:/21198/zz002313k1,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz002313k1_1656957_master.tif,,,,private,drawings (visual works),still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,GRONK PROJECT INV2 HIGH RES Journal Drawing Cup of Coffee 9.tif,Journal Drawing Cup of Coffee 9,1970/1979,1 photograph,Journal Drawing Cup of Coffee 9,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002313k1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002313k1/manifest
Gronk Digital Image Collection,ark:/21198/zz002313x6,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz002313x6_1559998_master.tif,,,,private,sketches,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,Chicano artists--California--Los Angeles County|~|Chicano archives,,UCLA Chicano Studies Research Center Library & Archive,GRONK PROJECT INV1 HIGHLOW RES Drawing 600dpi 13E.tif,"Drawing, male, nude, upsidedown with handwritten text",1970/1979,1 photograph,"Drawing, male, nude, upsidedown with handwritten text",1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002313x6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002313x6/manifest
Gronk Digital Image Collection,ark:/21198/zz0023140q,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz0023140q_1659068_master.tif,,,,private,text,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,GRONK PROJECT INV3 HIGH RES image 020.tif,"Verso of correspondence from Jerry Dreva, 3 Dec. 1976",1970/1979,1 photograph,Verso of correspondence from Jerry Dreva,3 Dec. 1976,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023140q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0023140q/manifest
Gronk Digital Image Collection,ark:/21198/zz00231417,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz00231417_1655918_master.tif,,,,private,black-and-white photograph,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,"GRGRONK PROJECT INV1 HIGHLOW RES ONK PROJECT INV1 HIGHLOW RES  Gronk, Agnes Varda and Isabel Huppert","Gronk, Agnes Varda and Isabel Huppert",1970/1979,1 photograph,"Gronk, Agnes Varda and Isabel Huppert 600dpi 14.tif",1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231417,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231417/manifest
Gronk Digital Image Collection,ark:/21198/zz0023142r,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz0023142r_1560031_master.tif,,,,private,text,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,"GRONK PROJECT INV1 HIGHLOW RES Dreva, Gronk Show at LACE 600dpi 7.tif","Dreva, Gronk Show at LACE",1970/1979,1 photograph,"Dreva, Gronk Show at LACE",August 1974,Gronk Papers,,Includes typed letter from Dreva to Gronk,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023142r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0023142r/manifest
Gronk Digital Image Collection,ark:/21198/zz00231438,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz00231438_1834449_master.tif,,,,private,sketches,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,CSRC_Gronk_DogCity_img009.tif,CSRC_Gronk_DogCity_img009.tif,1970/1979,1 photograph,,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231438,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231438/manifest
Gronk Digital Image Collection,ark:/21198/zz0023144s,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz0023144s_1560037_master.tif,,,,private,sketches,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,Chicano archives,,UCLA Chicano Studies Research Center Library & Archive,GRONK PROJECT INV1 HIGHLOW RES Godzilla by Gronk 600dpi 8.tif,Godzilla With a large fire breath,1970/1979,1 photograph,Godzilla With a large fire breath,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023144s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0023144s/manifest
Gronk Digital Image Collection,ark:/21198/zz00231459,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz00231459_1834455_master.tif,,,,private,sketches,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,CSRC_Gronk_DogCity_img010.tif,CSRC_Gronk_DogCity_img010.tif,1970/1979,1 photograph,,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231459,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231459/manifest
Gronk Digital Image Collection,ark:/21198/zz0023147b,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz0023147b_1835621_master.tif,,,,private,black-and-white photograph,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,CSRC_Gronk_Regeneracion_img001.tif,CSRC_Gronk_Regeneracion_img001.tif,1970/1979,1 photograph,,1970s,Gronk papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023147b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0023147b/manifest
Gronk Digital Image Collection,ark:/21198/zz0023148v,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz0023148v_1659234_master.tif,,,,private,text,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,J:GRONK PROJECT INV3 HIGH RES image 021.tif,"Wanted Sign for Patrica Hearst with stamp: ""Bob Bons Loves Tania""",1970/1979,1 photograph,"Wanted Sign for Patrica Hearst with stamp: ""Bob Bons Loves Tania""",20 May 1974,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023148v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0023148v/manifest
Gronk Digital Image Collection,ark:/21198/zz002314bw,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz002314bw_1835624_master.tif,,,,private,clippings,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,"Artists--California, Southern|~|Chicano artists--California--Los Angeles County|~|Chicano archives",,UCLA Chicano Studies Research Center Library & Archive,CSRC_Gronk_Regeneracion_img002.tif,CSRC_Gronk_Regeneracion_img002.tif,1970/1979,1 photograph,,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002314bw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002314bw/manifest
Gronk Digital Image Collection,ark:/21198/zz002314cd,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz002314cd_1659360_master.tif,,,,private,clippings,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,Chicano artists--California--Los Angeles County|~|Chicano archives,,UCLA Chicano Studies Research Center Library & Archive,GRONK PROJECT INV3 HIGH RES image 023.tif,A Decade of Life/Art by Diego Rivera,1978,1 photograph,Typed manuscript for a Gronk / Dreva show at LACE,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002314cd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002314cd/manifest
Gronk Digital Image Collection,ark:/21198/zz002314dx,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz002314dx_1659400_master.tif,,,,private,clippings,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,Chicano artists--California--Los Angeles County|~|Chicano archives,,UCLA Chicano Studies Research Center Library & Archive,GRONK PROJECT INV3 HIGH RES image 024.tif,A Decade of Life/Art by Diego Rivera page 2,1978,1 photograph,A Decade of Life/Art by Diego Rivera page 2,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002314dx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002314dx/manifest
Gronk Digital Image Collection,ark:/21198/zz002314gz,ark:/21198/zz00223dtg,1,In progress,Work,gronk/masters/21198-zz002314gz_1560076_master.tif,,,,private,color photographs,still image,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Gronk, 1954-",,,Chicano artists--California--Los Angeles County|~|Chicano archives,,UCLA Chicano Studies Research Center Library & Archive,,Gallery show,1970/1979,1 photograph,,1970s,Gronk Papers,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002314gz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002314gz/manifest
