Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.genre,Type.typeOfResource,Subject,Rights.permission,Rights.copyrightStatus,Name.repository,Name.subject,Name.donor,Name.artist,Name.designer,Name.photographer,Rights.rightsHolderContact,Format.medium,Description.note,Format.extent,Alt ID.collection,Date.creation,Alt ID.local,Date.normalized,Title,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r42z,,1,In progress,Collection,,,,,,private,,,,,,UCLA Chicano Studies Research Center Library & Archive,,,,,,,Mixed Media,,,Patssi Valdez Digital Image Collection,,,1970/1979,Patssi Valdez Digital Image Collection,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0017r42z
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r60c,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r60c_722937_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,,1974,CSRC_PATSSIVALDEZ_ASCO_img062.tif,1970/1979,"(metadata) (title needed, preparing for Instant Mural",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r60c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r60c/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r61w,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r61w_722767_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Chromogentic Photograph,"Photographed in East Los Angeles, CA.",1 slide,The Patssi Valdez Digital Image Collection,early 1970's,CSRC_PATSSIVALDEZ_ASCO_img025.tif,1970/1979,CSRC_PATSSIVALDEZ_ASCO_img025.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r61w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r61w/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r62d,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r62d_723009_master.tif,,,,,private,slides (photographs),,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,,,Color Photograph,,1 slide,The Patssi Valdez Digital Image Collection,,CSRC_PATSSIVALDEZ_ASCO_img080.tif,1970/1979,"(metadata) ""Patssi with female""",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r62d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r62d/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r63x,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r63x_722932_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,,1 slide,,1975,CSRC_PATSSIVALDEZ_ASCO_img061.tif,1970/1979,"(metadata)ASCO, Waiting for Tickets",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r63x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r63x/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r64f,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r64f_722803_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,1974,CSRC_PATSSIVALDEZ_ASCO_img033.tif,1970/1979,"(new)ASCO, The Gores series",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r64f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r64f/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r65z,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r65z_722745_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,Photographed in East Los Angeles.,1 slide,The Patssi Valdez Digital Image Collection,,CSRC_PATSSIVALDEZ_ASCO_img021.tif,1970/1979,CSRC_PATSSIVALDEZ_ASCO_img021.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r65z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r65z/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r66g,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r66g_722790_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph|~|Chromogentic Photograph,"Photograph taken in Downtown Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,early 1970's,CSRC_PATSSIVALDEZ_ASCO_img030.tif,1970/1979,CSRC_PATSSIVALDEZ_ASCO_img030.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r66g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r66g/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r670,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r670_722733_master.tif,,,,,private,slides (photographs)|~|installations (visual works),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,1974,CSRC_PATSSIVALDEZ_ASCO_img018.tif,1970/1979,"(new)ASCO, Instant Mural",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r670,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r670/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r68h,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r68h_722880_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,,,Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,,1970/1979,CSRC_PATSSIVALDEZ_ASCO_img050.tif,,CSRC_PATSSIVALDEZ_ASCO_img050.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r68h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r68h/manifest
