"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Coverage.temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz001d7b8s","ark:/21198/zz001d4kdw","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz001d7b8s_771212_master.tif","1","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guilin Fu (Guangxi Sheng, China)|~|Lingui Xian (China)|~|Guangxi Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b18_031","uclamss_1372_b18_031","謝元福|~|Xie Yuanfu","同治十年殿試-謝元福","全式|~|Overview","","應殿試舉人臣謝元福年叁拾壹歲廣西桂林府臨桂縣人由附生應咸豐拾壹年鄉試中式由舉人應同治拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖乃勃	祖榮袞	父嵩生|~|Rank 2 No. 8|~|Age: 31","1871","1871","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7b8s",""
"Han Yu-Shan Collection","ark:/21198/zz001d7b99","ark:/21198/zz001d4kdw","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz001d7b99_771286_master.tif","2","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guilin Fu (Guangxi Sheng, China)|~|Lingui Xian (China)|~|Guangxi Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b18_031_4","uclamss_1372_b18_031_4","Xie Yuanfu|~|謝元福","同治十年殿試-謝元福","騎縫關防|~|Seal Stamp|~|彌縫後卷背|~|Rank|~|Seal Stamped on Verso|~|擬名次","","Rank 2 No. 8|~|應殿試舉人臣謝元福年叁拾壹歲廣西桂林府臨桂縣人由附生應咸豐拾壹年鄉試中式由舉人應同治拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖乃勃	祖榮袞	父嵩生|~|Age: 31","1871","1871","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7b99",""
"Han Yu-Shan Collection","ark:/21198/zz001d7bbt","ark:/21198/zz001d4kdw","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz001d7bbt_771327_master.tif","3","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guilin Fu (Guangxi Sheng, China)|~|Lingui Xian (China)|~|Guangxi Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b18_031_9-10","uclamss_1372_b18_031_9-10","Xie Yuanfu|~|謝元福","同治十年殿試-謝元福","Stamp|~|Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背","","Rank 2 No. 8|~|應殿試舉人臣謝元福年叁拾壹歲廣西桂林府臨桂縣人由附生應咸豐拾壹年鄉試中式由舉人應同治拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖乃勃	祖榮袞	父嵩生|~|Age: 31","1871","1871","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7bbt",""
"Han Yu-Shan Collection","ark:/21198/zz001d7bcb","ark:/21198/zz001d4kdw","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz001d7bcb_774173_master.tif","4","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guilin Fu (Guangxi Sheng, China)|~|Lingui Xian (China)|~|Guangxi Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b18_031_13-14","uclamss_1372_b18_031_13-14","Xie Yuanfu|~|謝元福","同治十年殿試-謝元福","Seal Stamped on Verso|~|彌縫後卷背|~|滿漢合璧禮部印","","應殿試舉人臣謝元福年叁拾壹歲廣西桂林府臨桂縣人由附生應咸豐拾壹年鄉試中式由舉人應同治拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖乃勃	祖榮袞	父嵩生|~|Age: 31|~|Rank 2 No. 8","1871","1871","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7bcb",""
"Han Yu-Shan Collection","ark:/21198/zz001d7bdv","ark:/21198/zz001d4kdw","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz001d7bdv_774177_master.tif","5","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guilin Fu (Guangxi Sheng, China)|~|Lingui Xian (China)|~|Guangxi Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b18_031_21-22","uclamss_1372_b18_031_21-22","Xie Yuanfu|~|謝元福","同治十年殿試-謝元福","Paste-down|~|彌縫後卷背|~|Seal Stamped on Verso|~|擬名次|~|Rank|~|折頁","","Age: 31|~|Rank 2 No. 8|~|應殿試舉人臣謝元福年叁拾壹歲廣西桂林府臨桂縣人由附生應咸豐拾壹年鄉試中式由舉人應同治拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖乃勃	祖榮袞	父嵩生","1871","1871","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7bdv",""
