"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Coverage.temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz0019q86t","ark:/21198/zz0019q7wp","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz0019q86t_744411_master.tif","1","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guizhou Sheng (China)|~|Pingyuan Zhou (Guizhou Sheng, China)|~|Dading Fu (China)","","Civil service--China--Examinations.","uclamss_1372_17b_022","uclamss_1372_17b_022","Chen Houguang|~|諶厚光","道光六年殿試-諶厚光","Overview|~|全式","","Age: 31|~|應殿試舉人臣諶厚光年叁拾壹歲貴州大定府平遠州人由拔貢生應道光伍年鄉試中式由舉人應道光陸年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖克繩祖守正父忠輔|~|Rank 3 No. 2","1826","1826","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019q86t",""
"Han Yu-Shan Collection","ark:/21198/zz0019q87b","ark:/21198/zz0019q7wp","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz0019q87b_744417_master.tif","2","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guizhou Sheng (China)|~|Pingyuan Zhou (Guizhou Sheng, China)|~|Dading Fu (China)","","Civil service--China--Examinations.","uclamss_1372_17b_022_4","uclamss_1372_17b_022_4","Chen Houguang|~|諶厚光","道光六年殿試-諶厚光","彌縫後卷背|~|Seal Stamped on Verso|~|騎縫關防","","應殿試舉人臣諶厚光年叁拾壹歲貴州大定府平遠州人由拔貢生應道光伍年鄉試中式由舉人應道光陸年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖克繩祖守正父忠輔|~|Rank 3 No. 2|~|Age: 31","1826","1826","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019q87b",""
"Han Yu-Shan Collection","ark:/21198/zz0019q88v","ark:/21198/zz0019q7wp","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz0019q88v_744426_master.tif","3","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guizhou Sheng (China)|~|Pingyuan Zhou (Guizhou Sheng, China)|~|Dading Fu (China)","","Civil service--China--Examinations.","uclamss_1372_17b_022_9-10","uclamss_1372_17b_022_9-10","諶厚光|~|Chen Houguang","道光六年殿試-諶厚光","滿漢合璧禮部印|~|Stamp|~|彌縫後卷背|~|Seal Stamped on Verso","","應殿試舉人臣諶厚光年叁拾壹歲貴州大定府平遠州人由拔貢生應道光伍年鄉試中式由舉人應道光陸年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖克繩祖守正父忠輔|~|Rank 3 No. 2|~|Age: 31","1826","1826","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019q88v",""
"Han Yu-Shan Collection","ark:/21198/zz0019q89c","ark:/21198/zz0019q7wp","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz0019q89c_744429_master.tif","4","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guizhou Sheng (China)|~|Pingyuan Zhou (Guizhou Sheng, China)|~|Dading Fu (China)","","Civil service--China--Examinations.","uclamss_1372_17b_022_13-14","uclamss_1372_17b_022_13-14","諶厚光|~|Chen Houguang","道光六年殿試-諶厚光","彌縫後卷背|~|滿漢合璧禮部印|~|Stamp|~|Seal Stamped on Verso","","應殿試舉人臣諶厚光年叁拾壹歲貴州大定府平遠州人由拔貢生應道光伍年鄉試中式由舉人應道光陸年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖克繩祖守正父忠輔|~|Age: 31|~|Rank 3 No. 2","1826","1826","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019q89c",""
"Han Yu-Shan Collection","ark:/21198/zz0019q8bw","ark:/21198/zz0019q7wp","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz0019q8bw_744432_master.tif","5","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Guizhou Sheng (China)|~|Pingyuan Zhou (Guizhou Sheng, China)|~|Dading Fu (China)","","Civil service--China--Examinations.","uclamss_1372_17b_022_21","uclamss_1372_17b_022_21","Chen Houguang|~|諶厚光","道光六年殿試-諶厚光","折頁|~|Paste-down|~|擬名次|~|Rank","","Rank 3 No. 2|~|Age: 31|~|應殿試舉人臣諶厚光年叁拾壹歲貴州大定府平遠州人由拔貢生應道光伍年鄉試中式由舉人應道光陸年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖克繩祖守正父忠輔","1826","1826","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019q8bw",""
