"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Coverage.temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz00287k9d","ark:/21198/zz00287k8w","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287k9d_1904624_master.tif","2","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","","","","uclamss_1372_b24_007_9-10","uclamss_1372_b24_007_9-10","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287k9d",""
"Han Yu-Shan Collection","ark:/21198/zz00287kcf","ark:/21198/zz00287k8w","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287kcf_1904631_master.tif","3","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","","","","uclamss_1372_b24_007_11-12","uclamss_1372_b24_007_11-12","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287kcf",""
"Han Yu-Shan Collection","ark:/21198/zz00287kfg","ark:/21198/zz00287k8w","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287kfg_1904637_master.tif","4","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","","","","uclamss_1372_b24_007_18","uclamss_1372_b24_007_18","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287kfg",""
"Han Yu-Shan Collection","ark:/21198/zz002j98mx","ark:/21198/zz00287k8w","2","Completed","Page","yuhan/masters/21198-zz002j98mx_2320294_master.tif","1","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","","","","uclamss_1372_b24_007","uclamss_1372_b24_007","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j98mx",""
