"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Coverage.temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz002kdxpw","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kdxpw_2402437_master.tif","1","","","","","","","","","manuscripts (document genre)","","","chi","","","Civil service--China--Examinations.","uclamss_1372_b20_014","uclamss_1372_b20_014_full","","","","","","1890","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdxpw",""
"Han Yu-Shan Collection","ark:/21198/zz002kdxqd","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kdxqd_2402440_master.tif","2","","","","","","","","still image|~|text","manuscripts (document genre)","copyrighted","","chi","","","Civil service--China--Examinations.","uclamss_1372_b20_014","uclamss_1372_b20_014_frontplate","","","","","","1890","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdxqd",""
"Han Yu-Shan Collection","ark:/21198/zz002kdxrx","ark:/21198/zz002kdxnc","1","In progress","Page","yuhan/masters/21198-zz002kdxrx_2402445_master.tif","3","","","","","","private","","still image|~|text","manuscripts (document genre)","copyrighted","","chi","","","Civil service--China--Examinations.","uclamss_1372_b20_014","uclamss_1372_b20_014_back","","","","","","1890","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdxrx",""
"Han Yu-Shan Collection","ark:/21198/zz002kfgvn","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfgvn_2404299_master.tif","4","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_1-2","","uclamss_1372_b20_014_panels-1-2","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfgvn",""
"Han Yu-Shan Collection","ark:/21198/zz002kfgw5","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfgw5_2404302_master.tif","5","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_3-4","","uclamss_1372_b20_014_panels_3-4","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfgw5",""
"Han Yu-Shan Collection","ark:/21198/zz002kfgxp","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfgxp_2404305_master.tif","6","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_5-6","","uclamss_1372_b20_014_panels_5-6","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfgxp",""
"Han Yu-Shan Collection","ark:/21198/zz002kfgz6","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfgz6_2404308_master.tif","7","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_7-8","","uclamss_1372_b20_014_panels_7-8","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfgz6",""
"Han Yu-Shan Collection","ark:/21198/zz002kfh5s","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfh5s_2404311_master.tif","8","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_9-10","","uclamss_1372_b20_014_panels_9-10","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfh5s",""
"Han Yu-Shan Collection","ark:/21198/zz002kfh69","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfh69_2404314_master.tif","9","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_11-12","","uclamss_1372_b20_014_panels_11-12","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfh69",""
"Han Yu-Shan Collection","ark:/21198/zz002kfh7t","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfh7t_2404317_master.tif","10","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_13-14","","uclamss_1372_b20_014_panels_13-14","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfh7t",""
"Han Yu-Shan Collection","ark:/21198/zz002kfh8b","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfh8b_2404320_master.tif","11","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_15-16","","uclamss_1372_b20_014_panels_15-16","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfh8b",""
"Han Yu-Shan Collection","ark:/21198/zz002kfh9v","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfh9v_2404323_master.tif","12","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_17-18","","uclamss_1372_b20_014_panels_17-18","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfh9v",""
"Han Yu-Shan Collection","ark:/21198/zz002kfhbc","ark:/21198/zz002kdxnc","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz002kfhbc_2404326_master.tif","13","","","","","","","","","","","","","","","","","uclamss_1372_b20_014_panels_19-20","","uclamss_1372_b20_014_panels_19-20","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfhbc",""
