"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Coverage.temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz00287c1c","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c1c_1904072_master.tif","2","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Huzhou Fu (China)|~|Zhejiang Sheng (China)|~|Wucheng Xian (Zhejiang Sheng, China)","","Civil service--China--Examinations.","uclamss_1372_b22_022_4","uclamss_1372_b22_022_4","章祖申|~|Zhang Zushen","光緒三十年殿試-章祖申","彌縫後卷背|~|Seal Stamped on Verso|~|騎縫關防|~|Rank|~|擬名次","","二甲第一百五名|~|Age: 27|~|Rank 2 No. 105|~|應殿試舉人臣章祖申年貳拾柒叄歲浙江湖州府烏程縣人由廩生應光緒貳拾捌年捌鄉試中式由舉人應光緒叄拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖枚	祖乃憲	父恩培","1904","1904","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c1c",""
"Han Yu-Shan Collection","ark:/21198/zz00287c2w","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c2w_1904075_master.tif","3","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Huzhou Fu (China)|~|Zhejiang Sheng (China)|~|Wucheng Xian (Zhejiang Sheng, China)","","Civil service--China--Examinations.","uclamss_1372_b22_022_9-10","uclamss_1372_b22_022_9-10","Zhang Zushen|~|章祖申","光緒三十年殿試-章祖申","Seal Stamped on Verso|~|彌縫後卷背|~|滿漢合璧禮部印","","Rank 2 No. 105|~|應殿試舉人臣章祖申年貳拾柒叄歲浙江湖州府烏程縣人由廩生應光緒貳拾捌年捌鄉試中式由舉人應光緒叄拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖枚	祖乃憲	父恩培|~|Age: 27|~|二甲第一百五名","1904","1904","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c2w",""
"Han Yu-Shan Collection","ark:/21198/zz00287c3d","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c3d_1904093_master.tif","4","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Huzhou Fu (China)|~|Zhejiang Sheng (China)|~|Wucheng Xian (Zhejiang Sheng, China)","","Civil service--China--Examinations.","uclamss_1372_b22_022_13-14","uclamss_1372_b22_022_13-14","Zhang Zushen|~|章祖申","光緒三十年殿試-章祖申","彌縫後卷背|~|Seal Stamped on Verso|~|滿漢合璧禮部印","","Age: 27|~|應殿試舉人臣章祖申年貳拾柒叄歲浙江湖州府烏程縣人由廩生應光緒貳拾捌年捌鄉試中式由舉人應光緒叄拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖枚	祖乃憲	父恩培|~|二甲第一百五名|~|Rank 2 No. 105","1904","1904","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c3d",""
"Han Yu-Shan Collection","ark:/21198/zz00287c4x","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c4x_1904082_master.tif","5","","","","","","","","still image|~|text","manuscripts (document genre)","pd","","chi","Huzhou Fu (China)|~|Zhejiang Sheng (China)|~|Wucheng Xian (Zhejiang Sheng, China)","","Civil service--China--Examinations.","uclamss_1372_b22_022_21","uclamss_1372_b22_022_21","章祖申|~|Zhang Zushen","光緒三十年殿試-章祖申","Paste-down|~|擬名次|~|Rank|~|彌縫後卷背|~|Seal Stamped on Verso|~|折頁","","Age: 27|~|Rank 2 No. 105|~|應殿試舉人臣章祖申年貳拾柒叄歲浙江湖州府烏程縣人由廩生應光緒貳拾捌年捌鄉試中式由舉人應光緒叄拾年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖枚	祖乃憲	父恩培|~|二甲第一百五名","1904","1904","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c4x",""
"Han Yu-Shan Collection","ark:/21198/zz00287c6z","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c6z_1904100_master.tif","1","","","","","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","","","Civil service--China--Examinations.","uclamss_1372_b23_001|~|Microfilm R3-39","Anonymous Palace Examination","","匿名殿試試卷","Overview|~|全式","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c6z",""
"Han Yu-Shan Collection","ark:/21198/zz00287c7g","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c7g_1904103_master.tif","2","","","","","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","","","Civil service--China--Examinations.","uclamss_1372_b23_002|~|Microfilm R3-40","Anonymous Palace Examination","","匿名殿試試卷","Overview|~|全式","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c7g",""
"Han Yu-Shan Collection","ark:/21198/zz00287c80","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c80_1904110_master.tif","3","","","","","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","","","Civil service--China--Examinations.","uclamss_1372_b23_003|~|Microfilm R3-41","Anonymous Palace Examination","","匿名殿試試卷","Overview|~|全式","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c80",""
"Han Yu-Shan Collection","ark:/21198/zz00287c9h","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287c9h_1904111_master.tif","4","","","","","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","","","Civil service--China--Examinations.","uclamss_1372_b23_004|~|Microfilm R3-42","Anonymous Palace Examination","","匿名殿試試卷","全式|~|Overview","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287c9h",""
"Han Yu-Shan Collection","ark:/21198/zz00287fvr","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287fvr_1904417_master.tif","5","","","","","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","","","Civil service--China--Examinations.","uclamss_1372_b23_005|~|Microfilm R3-43","Anonymous Palace Examination","","匿名殿試試卷","Overview|~|全式","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287fvr",""
"Han Yu-Shan Collection","ark:/21198/zz00287fw8","ark:/21198/zz00287bwt","10","Completed with minimal metadata","Page","yuhan/masters/21198-zz00287fw8_1904420_master.tif","6","","","","","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","","","Civil service--China--Examinations.","uclamss_1372_b23_006|~|Microfilm R3-44","Anonymous Palace Examination","","匿名殿試試卷","Overview|~|全式","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00287fw8",""
