Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.author,Name.printer,Subject,Name.editor,Title,AltIdentifier.local,Relation.rectoVerso,Description.note,Date.publication,Publisher.publisherName,Date.normalized,Publisher.placeOfOrigin
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh3h,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0001.tif,1,,,,,,,text,pd,,,,,,,Inside front cover,pasc_antiphonarium_1685_0001,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh41,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0002.tif,2,,,,,,,text,pd,,,,,,,Fly leaf,pasc_antiphonarium_1685_0002,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh5j,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0003.tif,3,,,,,,,text,pd,,,,,,,Fly leaf verso,pasc_antiphonarium_1685_0003,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh62,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0004.tif,4,,,,,,,text,pd,,,,,,,Title page,pasc_antiphonarium_1685_0004,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh7k,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0005.tif,5,,,,,,,text,pd,,,,,,,Title page verso,pasc_antiphonarium_1685_0005,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh83,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0006.tif,6,,,,,,,text,pd,,,,,,,D. Dominico Falesio Alaino,pasc_antiphonarium_1685_0006,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sh9m,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0007.tif,7,,,,,,,text,pd,,,,,,,Ad lectorem benevolvm.,pasc_antiphonarium_1685_0007,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shb4,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0008.tif,8,,,,,,,text,pd,,,,,,,Page 1,pasc_antiphonarium_1685_0008,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shcn,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0009.tif,9,,,,,,,text,pd,,,,,,,Page 2,pasc_antiphonarium_1685_0009,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shd5,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0010.tif,10,,,,,,,text,pd,,,,,,,Page 3,pasc_antiphonarium_1685_0010,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shfp,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0011.tif,11,,,,,,,text,pd,,,,,,,Page 4,pasc_antiphonarium_1685_0011,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shg6,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0012.tif,12,,,,,,,text,pd,,,,,,,Page 5,pasc_antiphonarium_1685_0012,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shhq,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0013.tif,13,,,,,,,text,pd,,,,,,,Page 6,pasc_antiphonarium_1685_0013,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shj7,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0014.tif,14,,,,,,,text,pd,,,,,,,Page 7,pasc_antiphonarium_1685_0014,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shkr,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0015.tif,15,,,,,,,text,pd,,,,,,,Page 8,pasc_antiphonarium_1685_0015,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shm8,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0016.tif,16,,,,,,,text,pd,,,,,,,Page 9,pasc_antiphonarium_1685_0016,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shns,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0017.tif,17,,,,,,,text,pd,,,,,,,Page 10,pasc_antiphonarium_1685_0017,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shp9,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0018.tif,18,,,,,,,text,pd,,,,,,,Page 11,pasc_antiphonarium_1685_0018,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shqt,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0019.tif,19,,,,,,,text,pd,,,,,,,Page 12,pasc_antiphonarium_1685_0019,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shrb,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0020.tif,20,,,,,,,text,pd,,,,,,,Page 13,pasc_antiphonarium_1685_0020,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shsv,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0021.tif,21,,,,,,,text,pd,,,,,,,Page 14,pasc_antiphonarium_1685_0021,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shtc,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0022.tif,22,,,,,,,text,pd,,,,,,,Page 15,pasc_antiphonarium_1685_0022,r,,,,,
