Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,Bucketeer State,IIIF Access URL
Huxley (Aldous) Collection,ark:/21198/zz00253w23/3g926214,ark:/21198/zz00253w23,,,Page,huxle/image/21198-zz00253w23_1560449_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w23%2F3g926214
Huxley (Aldous) Collection,ark:/21198/zz00253w23/mr756d79,ark:/21198/zz00253w23,,,Page,huxle/image/21198-zz00253w23_1560452_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w23%2Fmr756d79
Huxley (Aldous) Collection,ark:/21198/zz00253w86/j9106p04,ark:/21198/zz00253w86,,,Page,huxle/image/21198-zz00253w86_1560470_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w86%2Fj9106p04
Huxley (Aldous) Collection,ark:/21198/zz00253w86/w470ts1t,ark:/21198/zz00253w86,,,Page,huxle/image/21198-zz00253w86_1560473_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w86%2Fw470ts1t
Huxley (Aldous) Collection,ark:/21198/zz00253w9q/m852d86t,ark:/21198/zz00253w9q,,,Page,huxle/image/21198-zz00253w9q_1560476_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w9q%2Fm852d86t
Huxley (Aldous) Collection,ark:/21198/zz00253w9q/qh13bg8c,ark:/21198/zz00253w9q,,,Page,huxle/image/21198-zz00253w9q_1560479_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w9q%2Fqh13bg8c
Huxley (Aldous) Collection,ark:/21198/zz002555xs/cq58t91h,ark:/21198/zz002555xs,,,Page,huxle/image/21198-zz002555xs_1651880_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002555xs%2Fcq58t91h
Huxley (Aldous) Collection,ark:/21198/zz002555xs/5z413916,ark:/21198/zz002555xs,,,Page,huxle/image/21198-zz002555xs_1652028_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002555xs%2F5z413916
Huxley (Aldous) Collection,ark:/21198/zz002556v7/pd42zq97,ark:/21198/zz002556v7,,,Page,huxle/image/21198-zz002556v7_1652171_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556v7%2Fpd42zq97
Huxley (Aldous) Collection,ark:/21198/zz002556v7/p979f39c,ark:/21198/zz002556v7,,,Page,huxle/image/21198-zz002556v7_1652305_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556v7%2Fp979f39c
