Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,AltTitle.other,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Huxley (Aldous) Collection,ark:/21198/zz00253w02,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w02_1560443_master.tif,1,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,"A young Aldous Huxley, seated in a chair.",0001|~|YRLSC_2009_0001,,"Aldous Huxley, age 8",[1902],1 photograph : b&w,1902,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w02/manifest
Huxley (Aldous) Collection,ark:/21198/zz00253w1k,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w1k_1560446_master.tif,2,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,,0002|~|YRLSC_2009_0002,,"Aldous Huxley, age 6 or 7",[1900 or 1901?],1 photograph : b&w,1900/1901,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w1k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w1k/manifest
Huxley (Aldous) Collection,ark:/21198/zz00253w3m,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w3m_1560455_master.tif,4,,,,,,leaves|~|black-and-white photographs,still image,copyrighted,Naturalists $z Great Britain,"Huxley, Aldous, $d 1894-1963 $x Family|~|Huxley, Thomas Henry, $d 1825-1895|~|Huxley, Julian, 1887-1975",,,eng,,,Y,,,"Appears to be a page torn from a book (possibly Julian Huxley's Memories, 1893).|~|The English biologist Thomas Henry Huxley with his grandson, Julian (Aldous Huxley's older brother).",0004|~|YRLSC_2009_0004,,"Thomas Henry Huxley and his grandson, Julian",[1893?],1 leaf : ill.,1893,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w3m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w3m/manifest
Huxley (Aldous) Collection,ark:/21198/zz00253w44,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w44_1560458_master.tif,5,,,,,,leaves|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,,YRLSC_2009_0005,,"Aldous Huxley as a child, profile",[between 1899 and 1901?],1 leaf : ill.,1899/1901,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w44,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w44/manifest
Huxley (Aldous) Collection,ark:/21198/zz00253w5n,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w5n_1560461_master.tif,6,,,,,,leaves|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, $d 1894-1963 $x Childhood and youth",,,zxx,,,Y,,,,0006|~|YRLSC_2009_0006,,Aldous Huxley as a child,[between 1901 and 1903?],1 leaf : ill.,1901/1903,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w5n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w5n/manifest
Huxley (Aldous) Collection,ark:/21198/zz00253w65,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w65_1560464_master.tif,7,,,,,,clippings,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Aldous, $d 1894-1963 $x Criticism and interpretation",,,eng,,,Y,"Sheller, Charles",,"Negative copy of clipping from Vanity Fair magazine (v. 27, iss. 4) by H. L. Mencken.",0007|~|YRLSC_2009_0007,,"Aldous Huxley novelist, critic and poet",[circa 1926],1 leaf : ill.,1926,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w65,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w65/manifest
Huxley (Aldous) Collection,ark:/21198/zz00253w7p,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00253w7p_1560467_master.tif,8,,,,,,clippings|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,,YRLSC_2009_0008,,"Portrait of Aldous Huxley, the ultra-modern author and playwright","[August 2, 1933]",1 leaf : ill.,1933-08-02,,,"""From The Sketch, Aug 2-33""",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253w7p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253w7p/manifest
Huxley (Aldous) Collection,ark:/21198/zz002556wr,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002556wr_1652390_master.tif,13,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Motion picture producers and directors--United States","Huxley, Aldous, 1894-1963",,,zxx,,,Y,"Stoumen, Louis Clyde",,"Photo taken by American film director and producer Louis Clyde Stoumen. Photo shot from the back seat of the car.|~|Writer Aldous Huxley, dressed in hat, seated in the front seat of a car in Bethelehem, PA in 1939. This image also appears in clipping YRLSC_2009_00201.",YRLSC_2009_00013,,"Aldous Huxley in car in Bethlehem, PA [descriptive]",1939,1 photograph : b&w,1939,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556wr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002556wr/manifest
Huxley (Aldous) Collection,ark:/21198/zz002556zs,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002556zs_1652770_master.tif,15,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Mark Trevenen",,,zxx,,,Y,,,Writer Aldous Huxley with unidentified infant seated in high chair. Infant possibly Mr. Huxley's grandson Trevenen. Circa 1950-1955.,YRLSC_2009_00015,,Aldous Huxley with unidentified infant [descriptive],1950-1955,1 photograph : b&w,1950/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556zs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002556zs/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255719,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255719_1652990_master.tif,17,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,0017|~|YRLSC_2009_00017,,Aldous and Maria Huxley with an unidentified girl,[between 1919 and 1955],1 photograph : b&w,1919/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255719,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255719/manifest
