"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Rights.rightsHolderContact","Language","Name.subject","Name.repository","Name.creator","Subject","Title","Date.creation","AltTitle.other","Description.note","Date.normalized","Bucketeer State","IIIF Access URL"
"Network Measurement Center Collection","ark:/21198/z1km0zdb","ark:/21198/zz002dj6tj","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_001.tif","1","","","","","","","","","","","","","","Page 1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0zdb"
"Network Measurement Center Collection","ark:/21198/z1fv06nj","ark:/21198/zz002dj6tj","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_002.tif","2","","","","","","","","","","","","","","Page 2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv06nj"
"Network Measurement Center Collection","ark:/21198/z1b585b9","ark:/21198/zz002dj6tj","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_003.tif","3","","","","","","","","","","","","","","Page 3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b585b9"
"Network Measurement Center Collection","ark:/21198/z16d7dmk","ark:/21198/zz002dj6tj","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_004.tif","4","","","","","","","","","","","","","","Page 4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7dmk"
"Network Measurement Center Collection","ark:/21198/z12n6ntz","ark:/21198/zz002dj6tj","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_005.tif","5","","","","","","","","","","","","","","Page 5","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6ntz"
"Network Measurement Center Collection","ark:/21198/z1xw65b2","ark:/21198/zz002dj6tj","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_006.tif","6","","","","","","","","","","","","","","Page 6","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw65b2"
"Network Measurement Center Collection","ark:/21198/z1t45dn3","ark:/21198/zz002dj6wk","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_001.tif","1","","","","","","","","","","","","","","Page 1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45dn3"
"Network Measurement Center Collection","ark:/21198/z1pc4nzt","ark:/21198/zz002dj6wk","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_002.tif","2","","","","","","","","","","","","","","Page 2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4nzt"
"Network Measurement Center Collection","ark:/21198/z1jm3x7h","ark:/21198/zz002dj6wk","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_003.tif","3","","","","","","","","","","","","","","Page 3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm3x7h"
"Network Measurement Center Collection","ark:/21198/z1dz1vx3","ark:/21198/zz002dj6wk","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_004.tif","4","","","","","","","","","","","","","","Page 4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1vx3"
