"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Type.typeOfResource","Language","Name.creator","Type.genre","Description.note","Title","Alt ID.local","Format.extent","Date.creation","Alt ID.mp4","Format.medium","Waveform","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"Sontag (Susan) Papers. Collection 612","ark:/21198/zz002k50k5","ark:/21198/zz00151t9g","10","Completed with minimal metadata","Work","sontag/video/UCLA_Sontag_Peking_corrected_s.mp4","7","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:sontag/pairtree_root/21/19/8=/zz/00/2k/50/k5/21198=zz002k50k5/ark%2B=21198=zz002k50k5.mp4{}","moving image","zxx","","home movies","16mm home movie from the Susan Sontag Papers at UCLA Library Special Collections. This film, circa 1926, was shot when Sontag’s parents, Jack and Mildred Rosenblatt, spent time in Beijing. It shows a number of Beijing street scenes. Sontag’s father, Jack Rosenblatt, operated a fur-trading business in China called the Kung Chen Fur Corporation. Mildred was listed as the company president treasurer on the company books.","Jack and Mildred Rosenblatt in Peking","","Reel 1 (2 min., 52 sec.): mos","ca. 1926","UCLA_Sontag_Peking_corrected_s","black and white ; 16mm","","640","480","173.013333","video/mp4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k50k5/manifest"
"Sontag (Susan) Papers. Collection 612","ark:/21198/zz002k6jgs","ark:/21198/zz00151t9g","10","Completed with minimal metadata","Work","sontag/video/UCLA_Sontag_SS-Paris_corrected_s.mp4","8","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:sontag/pairtree_root/21/19/8=/zz/00/2k/6j/gs/21198=zz002k6jgs/ark%2B=21198=zz002k6jgs.mp4{}","moving image","zxx","","home movies","16mm home movie from the Susan Sontag Papers at UCLA Library Special Collections. This film, circa 1926, shows Sontag's parents, Jack and Mildred Rosenblatt, en route to Beijing on the S.S. Paris. They are accompanied by an unidentified couple.","Jack and Mildred Rosenblatt on the S.S. Paris","","Reel 1 (2 min., 58 sec. ): mos","ca. 1926","UCLA_Sontag_SS-Paris_corrected_s","black and white ; 16mm","","640","480","178.88","video/mp4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6jgs/manifest"
