"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Language","Name.creator","Name.repository","Rights.permission","Type.typeOfResource","Subject","Name.contributor","Type.genre","Alt ID.mp4","Date.creation","Date.normalized","Title","Format.extent","Relation.isPartOf","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"Synanon Collection","ark:/21198/zz002hdshj","","1","In progress","Collection","","","","","","","","","","","","","","","","","","Synanon Collection","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002hdshj"
"Synanon Collection","ark:/21198/zz002hdsj2","ark:/21198/zz002hdshj","2","Completed","Work","synanon/video/synanon.mp4","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:synanon/pairtree_root/21/19/8=/zz/00/2h/ds/j2/21198=zz002hdsj2/ark%2B=21198=zz002hdsj2.mp4{}","copyrighted","eng","Synanon (Foundation)","University of California, Los Angeles. $b Library Special Collections","Y","moving image","Group psychotherapy $z United States|~|Detoxification (Substance abuse treatment) $z United States","National Film Preservation Foundation (U.S.)","short subjects","synanon","1973","1973","Instant guide to Synanon : a compilation of the most frequently asked questions about our Foundation","1 film reel (8 min., 40 sec.) : sd., color ; 16 mm.","","720","480","520.021333","video/mp4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsj2/manifest"
