Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf3xw/1z43js4k,ark:/21198/zz002cf3xw,,,Page,Masters/Maps/Bruman-Maps/image/Drawer704_DR704F4/G5702_F2_2_4M_GMC_1940Sa.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf3xw/x047b08p,ark:/21198/zz002cf3xw,,,Page,Masters/Maps/Bruman-Maps/image/Drawer704_DR704F4/G5702_F2_2_4M_GMC_1940Sb.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf4gn/q3786x40,ark:/21198/zz002cf4gn,,,Page,Masters/Maps/Bruman-Maps/image/Drawer704_DR704F4/G5702_World_War_II_500_JRO_C_1944b.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf4gn/r519vc97,ark:/21198/zz002cf4gn,,,Page,Masters/Maps/Bruman-Maps/image/Drawer704_DR704F4/G5702_World_War_II_500_JRO_C_1944a.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf4n7/8c902f5b,ark:/21198/zz002cf4n7,,,Page,Masters/Maps/Bruman-Maps/image/Drawer704_DR704F5/G5722_4_5M_HOMANN_A.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf4n7/mv777b22,ark:/21198/zz002cf4n7,,,Page,Masters/Maps/Bruman-Maps/image/Drawer704_DR704F5/G5722_4_5M_HOMANN_B.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf55g/3q23q10c,ark:/21198/zz002cf55g,,,Page,Masters/Maps/Bruman-Maps/image/Drawer705_DR705F1/G5730_1927_C36_A.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf55g/tf72fg74,ark:/21198/zz002cf55g,,,Page,Masters/Maps/Bruman-Maps/image/Drawer705_DR705F1/G5730_1927_C36_B.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf5j5/9v74cv09,ark:/21198/zz002cf5j5,,,Page,Masters/Maps/Bruman-Maps/image/Drawer705_DR705F1/G5740_NS_NT_CA_1930A.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cf5j5/hc626p4z,ark:/21198/zz002cf5j5,,,Page,Masters/Maps/Bruman-Maps/image/Drawer705_DR705F1/G5740_NS_NT_CA_1930B.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
