Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jqj/tp74h80c,ark:/21198/zz00297jqj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jqj_1976495_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jr2/pb18zh7m,ark:/21198/zz00297jr2,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jr2_1976501_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jr2/st46tm6f,ark:/21198/zz00297jr2,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jr2_1976504_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/8068fj1h,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976943_master.tif,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/gm02qp34,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976956_master.tif,4,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/j051fj07,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976927_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/jk96117f,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976936_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pvj/0b39nd3d,ark:/21198/zz00297pvj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pvj_1977290_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pvj/1p83c37s,ark:/21198/zz00297pvj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pvj_1977011_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fbp/hw76qp5t,ark:/21198/zz002b0fbp,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fbp_1977309_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fbp/rx95jp6r,ark:/21198/zz002b0fbp,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fbp_1977321_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0ff7/mr04sx95,ark:/21198/zz002b0ff7,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0ff7_1977421_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0ff7/tz77n303,ark:/21198/zz002b0ff7,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0ff7_1977357_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fh8/kz44rv9c,ark:/21198/zz002b0fh8,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fh8_1977372_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fh8/z2371934,ark:/21198/zz002b0fh8,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fh8_1977431_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fjs/f699k284,ark:/21198/zz002b0fjs,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fjs_1977388_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fjs/gh51sn98,ark:/21198/zz002b0fjs,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fjs_1977456_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0hrv/js367651,ark:/21198/zz002b0hrv,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0hrv_1977496_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0hrv/tj824g42,ark:/21198/zz002b0hrv,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0hrv_1977531_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j1g/bn84j89j,ark:/21198/zz002b0j1g,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j1g_1977558_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j1g/nx70db6t,ark:/21198/zz002b0j1g,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j1g_1977561_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j41/4j554d9m,ark:/21198/zz002b0j41,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j41_1977641_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j41/gf26b765,ark:/21198/zz002b0j41,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j41_1977648_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0jhq/p050g280,ark:/21198/zz002b0jhq,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0jhq_1977712_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0jhq/rq85gs7p,ark:/21198/zz002b0jhq,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0jhq_1977709_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mwc/5s14xw42,ark:/21198/zz002b0mwc,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mwc_1977897_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mwc/zt372b4q,ark:/21198/zz002b0mwc,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mwc_1977874_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mxw/4w002q1q,ark:/21198/zz002b0mxw,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mxw_1978562_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mxw/fv41m253,ark:/21198/zz002b0mxw,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mxw_1978571_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mzd/kx43nd30,ark:/21198/zz002b0mzd,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mzd_1978619_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mzd/np32f367,ark:/21198/zz002b0mzd,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mzd_1978601_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b10vm/2p38jc5h,ark:/21198/zz002b10vm,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b10vm_1978880_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b10vm/9n22cc6v,ark:/21198/zz002b10vm,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b10vm_1978883_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b122p/24191r41,ark:/21198/zz002b122p,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b122p_1978937_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b122p/7820gp31,ark:/21198/zz002b122p,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b122p_1978917_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b124q/1w56zx3q,ark:/21198/zz002b124q,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b124q_1978986_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b124q/kx47r88k,ark:/21198/zz002b124q,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b124q_1978992_master.tif,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b124q/vw21rg59,ark:/21198/zz002b124q,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b124q_1978976_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b12mz/c273vm06,ark:/21198/zz002b12mz,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b12mz_1979031_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b12mz/qp56tz1t,ark:/21198/zz002b12mz,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b12mz_1979028_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1456/jk98zp0s,ark:/21198/zz002b1456,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1456_1979052_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1456/m011vd51,ark:/21198/zz002b1456,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1456_1979049_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b148r/4v86zt5s,ark:/21198/zz002b148r,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b148r_1979087_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b148r/k058cf39,ark:/21198/zz002b148r,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b148r_1979082_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b14jw/56475k67,ark:/21198/zz002b14jw,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b14jw_1979096_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b14jw/vr75hm00,ark:/21198/zz002b14jw,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b14jw_1979099_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g51/4084548k,ark:/21198/zz002b1g51,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g51_1979984_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g51/gj66w91f,ark:/21198/zz002b1g51,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g51_1979979_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g6j/k640ng05,ark:/21198/zz002b1g6j,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g6j_1979990_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g6j/td363q1q,ark:/21198/zz002b1g6j,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g6j_1979989_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g72/1518cc9m,ark:/21198/zz002b1g72,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g72_1980002_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g72/z126w67f,ark:/21198/zz002b1g72,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g72_1979995_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g93/fh33rc7d,ark:/21198/zz002b1g93,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g93_1980342_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1g93/zb43sx4w,ark:/21198/zz002b1g93,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1g93_1980345_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1p7z/q1320d15,ark:/21198/zz002b1p7z,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1p7z_1980424_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1p7z/rt79mj0q,ark:/21198/zz002b1p7z,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1p7z_1980414_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1p8g/ds143m70,ark:/21198/zz002b1p8g,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1p8g_1980437_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1p8g/zd442376,ark:/21198/zz002b1p8g,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1p8g_1980427_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1pf2/8g242j1d,ark:/21198/zz002b1pf2,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1pf2_1980466_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1pf2/dz04kj6b,ark:/21198/zz002b1pf2,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1pf2_1980469_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1ph3/0j46c09d,ark:/21198/zz002b1ph3,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1ph3_1980481_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1ph3/h523465b,ark:/21198/zz002b1ph3,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1ph3_1980484_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1pjm/2z873066,ark:/21198/zz002b1pjm,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1pjm_1980488_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1pjm/97329m1g,ark:/21198/zz002b1pjm,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1pjm_1980487_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1pk4/3t781943,ark:/21198/zz002b1pk4,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1pk4_1980493_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1pk4/rv88d74k,ark:/21198/zz002b1pk4,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1pk4_1980496_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1qfj/3585rb56,ark:/21198/zz002b1qfj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1qfj_1980527_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b1qfj/q213744x,ark:/21198/zz002b1qfj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b1qfj_1980524_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,
