Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z1001v4d,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Order of Worship for James Street Methodist Church,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2090,Ephemera Collection,Let The People On Entering God's House Sit In Silence Or Kneel Reverently Asking God's Blessing On Themselves and Others Who Have Come To His House To Worship,"October 8, 1967",1967-10-08,13.1939,59.5432,"Order of worship for morning and evening services. Program of Order of Worship held at the James Street Methodist church on October 8, 1967. The James Street Methodist Church was founded in 1788. Includes names of church officers.",21.6 cm x 16.3 cm,3 pages,,programs (documents),,Collection C319|~|Box C-Ch,James Street Methodist Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Methodism|~|Church services,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v4d/manifest
ark:/21198/z1001v5v,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Bajan Table '70,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8n91,Ephemera Collection,,October 1970,1970-10-01,13.1939,59.5432,"Program of events for the Bajan Table '70 under the distinguished patronage of The Right Honourable E. W. Barrow and Mrs. Barrow held at the Hilton Hotel, October 14-16, 1970 and arranged by The Barbados Hotel Association and The Barbados Hotel School.",22.1 cm x 14.2 cm,36 pages,,programs (documents),,Box Ci-Cz|~|Folder 6,Barbados Hotel Association|~|Barbados Hotel School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Events|~|Cooking|~|Hospitality industry,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v5v/manifest
ark:/21198/z1001v69,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1975 Harrison College Speech Day and Prize Giving,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8nhq,Ephemera Collection,,"December 4, 1975",1975-12-04,13.1939,59.5432,"Booklet with program and details for Harrison College's annual Speech Day and prize-giving on December 4, 1975. Contains the schedule and names of staff and students. The event was attended by the Governor-General Sir Winston Scott, who presented the prizes.",19 cm x 15.1 cm,7 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 5,Harrison College,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Speeches|~|School orations|~|Awards and Prizes|~|Awards ceremonies|~|Barbados,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v69/manifest
ark:/21198/z1001v7r,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Queen's College Presents a Rock Pantomime: ""The Old woman in the Shoe""",,,Queen's College,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz761b,Ephemera Collection,,December 1972,1972-12,13.1939,59.5432,"Booklet with program and information about the rock pantomime ""The Old Woman in the Shoe"" organized by Queen's College in December 1972.",16.8 cm x 21.8 cm; 11.2 cm x 16.1 cm,9 pages,,Program booklets|~|Theater programs|~|Pantomimes,,Collection C319|~|Box KQ|~|Folder 14,Queen's College,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Pantomimes|~|School plays|~|Theather,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v7r/manifest
ark:/21198/z1001v86,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Bimshire '72: 'Honey In The Peppersauce""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb05gf,Ephemera Collection,,1972,1972,13.1939,59.5432,"Booklet with the program and cast information for ""Bimshire '72: Honey in the Peppersauce"" written by Flora Spencer and Geoffrey King, and presented by the Barbados Festival Choir under the auspices of the Barbados Arts Council. No location information provided.",21.7 cm x 17.2 cm,17 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 6,Barbados Festival Choir|~|Barbados Arts Council,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Arts and culture -- Performing arts|~|Folk music,,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001v86/manifest
ark:/21198/z1030jh8,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,ACURIL XXIII: Exhibitor's Brochure - Folleto de los Exhibidores - Brochure des Exposants,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n0336v,Ephemera Collection,,May 1993,1993-05-01,13.1939,59.5432,"Booklet of exhibition of library-related goods and services, held during ACURIL XXIII at the Marriott's Sam Lord's Castle, Barbados (May 23-28, 1993). ACURIL is the Association of Caribbean University, Research and institutional Libraries.",21.8 cm x 14.3 cm,40 pages,,booklets,,Box Ci-Cz|~|Folder 4,"Association of Caribbean University, Research and institutional Libraries; Library Association of Barbados; National Library Service",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congresses and conventions|~|Associations, institutions, etc.|~|Libraries",Saint Philip (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jh8/manifest
ark:/21198/z1030jjq,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Vote for Walter Maloney and take N.U.P.W. Forward,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5gqt,Ephemera Collection,,1996,1996,13.1939,59.5432,Election campaign flyer of Walter Maloney for 1st Vice President for the union elections of 1996 of the National Union of Public Workers.,27.9 cm x 21.5 cm,1 page,,Fliers|~|Election posters|~|Campaign posters,,Collection C319|~|Box KQ|~|Folder 11,National Union of Public Workers,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Election campaigns|~|Labor unions|~|Public employees|~|Civil service--labor unions,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jjq/manifest
ark:/21198/z10597zg,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,A-Z of Barbados Heritage Brochure,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2j7v,Ephemera Collection,,"November 20, 2003",2003-11-20,13.1939,59.5432,"Brochure for the book A-Z of Barbados. This book covers every aspect of Barbadian history, geography, culture and society.",16.8 cm x 12.7 cm,2 pages,,invitations|~|brochures,,Collection C319|~|Box A-B|~|Folder 15,Macmillan Caribbean,,,Barbados,Macmillan Caribbean,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Books|~|Barbados|~|Culture,Saint Michael (Barbados),21st Century,paged,Macmillan Caribbean,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597zg/manifest
ark:/21198/z105980b,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Service of Thanksgiving for the Life of Eric Orwin Maxwell,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7x5n,Ephemera Collection,,"July 4, 2003",2003-07-04,13.1939,59.5432,"Booklet for the funeral service of Eric Orwin Maxwell, late of 166A Regency Park, Christ Church, held at the Bethel Methodist Church on Friday July 3, 2003 at 2:00 p.m.  Officiating was the Rev. Leonard Rock, and the interment was held at the Westbury Cemetery.",14 x 22 cm,13 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz105980b/manifest
ark:/21198/z105981s,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""TI-Jean and His Brothers""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm75t7,Ephemera Collection,,1970,1970,13.1939,59.5432,"Booklet with the program and cast information for the play ""TI-Jean and His Brothers,"" presented by the Trinidad Theatre Workshop in 1970. The play was written by Derek Walcott and Andre Tanker, and contains an introduction by D. Walcott. The Trinidad Theatre Workshop presented the play during a tour in Barbados, Canada and Guyana.",20.9 cm x 13.3 cm,7 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 3,Trinidad Theatre Workshop,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|West Indian drama (English)|~|West Indian literature (English)|~|Social justice,Barbados|~|Canada|~|Guyana|~|Trinidad and Tobago,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz105981s/manifest
