Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxfz,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0047.tif,18,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 47",uclamss_1632_box12f05_0047,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxgg,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0047back.tif,19,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 47 back",uclamss_1632_box12f05_0047back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxh0,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0048.tif,20,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 48",uclamss_1632_box12f05_0048,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxjh,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0049.tif,21,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 49",uclamss_1632_box12f05_0049,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxk1,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0050.tif,22,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 50",uclamss_1632_box12f05_0050,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxmj,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0050back.tif,23,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 50 back",uclamss_1632_box12f05_0050back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxn2,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0051.tif,24,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 51",uclamss_1632_box12f05_0051,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxpk,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0051back.tif,25,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 51 back",uclamss_1632_box12f05_0051back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxq3,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0052.tif,26,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 52",uclamss_1632_box12f05_0052,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxrm,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0052back.tif,27,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 52 back",uclamss_1632_box12f05_0052back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxs4,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0053.tif,28,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 53",uclamss_1632_box12f05_0053,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxtn,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0054.tif,29,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 54",uclamss_1632_box12f05_0054,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxv5,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0054back.tif,30,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 54 back",uclamss_1632_box12f05_0054back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxwp,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0055.tif,31,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 55",uclamss_1632_box12f05_0055,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxx6,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0055back.tif,32,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 55 back",uclamss_1632_box12f05_0055back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsxzq,ark:/21198/zz002gswt5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f05_0056.tif,33,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 5, 56",uclamss_1632_box12f05_0056,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gsz17,ark:/21198/zz002gsz0q,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box12f06_0057.tif,1,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 12, Folder 6, 57",uclamss_1632_box12f06_0057,,,,,,,,,,,
