Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium
Minasian Collection of Armenian Materials,ark:/21198/zz002grcx1,ark:/21198/zz002gr945,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f14_0245.tif,81,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 14, 245",uclamss_1632_box10f14_0245,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grczj,ark:/21198/zz002gr945,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f14_0246.tif,82,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 14, 246",uclamss_1632_box10f14_0246,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd12,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0247.tif,1,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 247",uclamss_1632_box10f15_0247,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd2k,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0248.tif,2,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 248",uclamss_1632_box10f15_0248,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd33,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0249.tif,3,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 249",uclamss_1632_box10f15_0249,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd4m,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0249back.tif,4,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 249 back",uclamss_1632_box10f15_0249back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd54,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0250.tif,5,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 250",uclamss_1632_box10f15_0250,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd6n,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0250back.tif,6,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 250 back",uclamss_1632_box10f15_0250back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd75,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0251.tif,7,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 251",uclamss_1632_box10f15_0251,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd8p,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0251back.tif,8,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 251 back",uclamss_1632_box10f15_0251back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grd96,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0252.tif,9,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 252",uclamss_1632_box10f15_0252,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grdbq,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0252back.tif,10,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 252 back",uclamss_1632_box10f15_0252back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grdc7,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0253.tif,11,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 253",uclamss_1632_box10f15_0253,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grddr,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0254.tif,12,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 254",uclamss_1632_box10f15_0254,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002grdf8,ark:/21198/zz002grd0j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box10f15_0254back.tif,13,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 10, Folder 15, 254 back",uclamss_1632_box10f15_0254back,,,,,,,,,,,
