Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium
Minasian Collection of Armenian Materials,ark:/21198/zz002j02xn,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_026.tif,26,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_026,uclalsc_1632_b25_f10_01_026,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j02z5,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_027.tif,27,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_027,uclalsc_1632_b25_f10_01_027,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j0305,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_028.tif,28,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_028,uclalsc_1632_b25_f10_01_028,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j031p,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_029.tif,29,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_029,uclalsc_1632_b25_f10_01_029,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j0326,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_030.tif,30,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_030,uclalsc_1632_b25_f10_01_030,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j033q,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_031.tif,31,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_031,uclalsc_1632_b25_f10_01_031,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j0347,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_032.tif,32,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_032,uclalsc_1632_b25_f10_01_032,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j035r,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_033.tif,33,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_033,uclalsc_1632_b25_f10_01_033,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j0368,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_034.tif,34,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_034,uclalsc_1632_b25_f10_01_034,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002j037s,ark:/21198/zz002hzr94,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f10_01_035.tif,35,,,,,text,unknown,,,,,uclalsc_1632_b25_f10_01_035,uclalsc_1632_b25_f10_01_035,,,,,,,,,,,
