Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvkq,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0188c.tif,19,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 188c",uclamss_1632_box09f14_0188c,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvm7,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0189a.tif,20,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 189a",uclamss_1632_box09f14_0189a,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvnr,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0189b.tif,21,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 189b",uclamss_1632_box09f14_0189b,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvp8,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0189c.tif,22,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 189c",uclamss_1632_box09f14_0189c,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvqs,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0190.tif,23,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 190",uclamss_1632_box09f14_0190,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvr9,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0191a.tif,24,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 191a",uclamss_1632_box09f14_0191a,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvst,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0191b.tif,25,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 191b",uclamss_1632_box09f14_0191b,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvtb,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0191c.tif,26,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 191c",uclamss_1632_box09f14_0191c,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvvv,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0192.tif,27,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 192",uclamss_1632_box09f14_0192,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gpvwc,ark:/21198/zz002gptxd,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_box09f14_0192back.tif,28,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 9, Folder 14, 192 back",uclamss_1632_box09f14_0192back,,,,,,,,,,,
