"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.permission","Name.creator","Subject","Name.subject","Editor","Subject.conceptTopic","Subject geographic","Title","Date.creation","Format.extent","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"East Asian Library","ark:/21198/z1ks8c6c","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_015.tif","15","","","","","","","","","","","","","","Page 15","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8c6c",""
"East Asian Library","ark:/21198/z1g17mfh","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_016.tif","16","","","","","","","","","","","","","","Page 16","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17mfh",""
"East Asian Library","ark:/21198/z1b86vsp","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_017.tif","17","","","","","","","","","","","","","","Page 17","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86vsp",""
"East Asian Library","ark:/21198/z16m4tf7","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_018.tif","18","","","","","","","","","","","","","","Page 18","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4tf7",""
"East Asian Library","ark:/21198/z12v42ss","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_019.tif","19","","","","","","","","","","","","","","Page 19","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v42ss",""
"East Asian Library","ark:/21198/z1z33kd5","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_020.tif","20","","","","","","","","","","","","","","Page 20","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33kd5",""
"East Asian Library","ark:/21198/z1tb2tn0","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_021.tif","21","","","","","","","","","","","","","","Page 21","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2tn0",""
"East Asian Library","ark:/21198/z1pk22t9","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_022.tif","22","","","","","","","","","","","","","","Page 22","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk22t9",""
"East Asian Library","ark:/21198/z1jt1b2j","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_023.tif","23","","","","","","","","","","","","","","Page 23","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1b2j",""
"East Asian Library","ark:/21198/z1f20kck","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_024.tif","24","","","","","","","","","","","","","","Page 24","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20kck",""
