Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Language,Rights.permission,Name.creator,Subject,Name.subject,Editor,Subject.conceptTopic,Subject geographic,Title,Date.creation,Format.extent,Opac url,IIIF Manifest URL
East Asian Library,ark:/21198/zz002hzccv,,2,Completed,Collection,,,,,,,,,,,,,,,,,,East Asian Library,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002hzccv
East Asian Library,ark:/21198/zz002hzcdc,ark:/21198/zz002hzccv,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d80z2v,text,copyrighted,eng,Y,"Kawahara, Herbert Gunzo",Kawahara family|~|Japanese Americans--Biography|~|Hawaii--Genealogy.,Kawahara family,"Kao, Malcolm Uyematsu",Japanese Americans $z Hawaii $v Biography,Hawaii $v Genealogy,The Kawahara family history / as told by Herbert Gunzo Kawahara,[2014?],"167 p. : ill., geneal. tables",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7451208,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hzcdc/manifest
