Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Picart (Bernard) Collection,ark:/21198/zz001hdfjv,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfjv-1-master.tif,156,,,text|~|still image,,,,,,page 22,v,,ornament,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfjv
Picart (Bernard) Collection,ark:/21198/zz001hdfkc,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfkc-1-master.tif,157,,,text,,,,,,blank page,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfkc
Picart (Bernard) Collection,ark:/21198/zz001hdfmw,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfmw-1-master.tif,158,,,text,,,,,,Le BAPTÊME de RHINSBOURG. (verso),v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfmw
Picart (Bernard) Collection,ark:/21198/zz001hdfnd,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfnd-1-master.tif,159,,,text,,,,,,Le BAPTÊME de RHINSBOURG. (recto),r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfnd
Picart (Bernard) Collection,ark:/21198/zz001hdfpx,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfpx-1-master.tif,160,,,text,,,,,,blank page,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfpx
Picart (Bernard) Collection,ark:/21198/zz001hdfqf,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfqf-1-master.tif,161,,,text|~|still image,,,,,,Inventore minor.,r,,"At dixi fluere hunc tutulentum, saepe ferente quidem tollenda relinquendis.  HOR. S. I:10",,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfqf
Picart (Bernard) Collection,ark:/21198/zz001hdfrz,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfrz-1-master.tif,162,,,text,,,,,,blank page,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfrz
Picart (Bernard) Collection,ark:/21198/zz001hdfsg,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfsg-1-master.tif,163,,,text|~|still image,,,,,,page 1,r,,ornament,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfsg
Picart (Bernard) Collection,ark:/21198/zz001hdft0,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdft0-1-master.tif,164,,,text,,,,,,page 2,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdft0
Picart (Bernard) Collection,ark:/21198/zz001hdfvh,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfvh-1-master.tif,165,,,text,,,,,,page 3,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfvh
Picart (Bernard) Collection,ark:/21198/zz001hdfw1,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hdfw1-1-master.tif,166,,,text,,,,,,page 4,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hdfw1
