File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170429_015.tif,Page,Page 15,15,ark:/21198/z1224xhm,ark:/21198/z1tt70qp
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170429_016.tif,Page,Page 16,16,ark:/21198/z1224xhm,ark:/21198/z1q54zdm
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170429_017.tif,Page,Page 17,17,ark:/21198/z1224xhm,ark:/21198/z1kd46p8
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170429_018.tif,Page,Page 18,18,ark:/21198/z1224xhm,ark:/21198/z1fn3g0d
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170429_019.tif,Page,Page 19,19,ark:/21198/z1224xhm,ark:/21198/z19w2qbk
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170429_020.tif,Page,Page 20,20,ark:/21198/z1224xhm,ark:/21198/z1641zj8
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_001.tif,Page,Page 1,1,ark:/21198/z1x94f08,ark:/21198/z12c16vc
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_002.tif,Page,Page 2,2,ark:/21198/z1x94f08,ark:/21198/z1xm0qbn
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_003.tif,Page,Page 3,3,ark:/21198/z1x94f08,ark:/21198/z1sx8p0n
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_004.tif,Page,Page 4,4,ark:/21198/z1x94f08,ark:/21198/z1p57x87
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_005.tif,Page,Page 5,5,ark:/21198/z1x94f08,ark:/21198/z1jd75kb
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_006.tif,Page,Page 6,6,ark:/21198/z1x94f08,ark:/21198/z1dn6dvm
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_007.tif,Page,Page 7,7,ark:/21198/z1x94f08,ark:/21198/z18w5p49
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_008.tif,Page,Page 8,8,ark:/21198/z1x94f08,ark:/21198/z1544xdw
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1917/ihc_bohemia_19170506_009.tif,Page,Page 9,9,ark:/21198/z1x94f08,ark:/21198/z11c45pj
