Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1dj77pn,ark:/21198/z18w58z3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0127_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w58z3
ark:/21198/z1dj77pn,ark:/21198/z1dn61pt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0127_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn61pt
ark:/21198/z1dj77pn,ark:/21198/z1jd6sd5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0127_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6sd5
ark:/21198/z1dj77pn,ark:/21198/z1p57j3f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0127_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57j3f
ark:/21198/z1dj77pn,ark:/21198/z1sx88tf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0127_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx88tf
ark:/21198/z1dj77pn,ark:/21198/z1xp91km,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0127_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp91km
