Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1w68cw8,ark:/21198/z1gf2qqk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0036.tif,Page,Page 36,36,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2qqk
ark:/21198/z1w68cw8,ark:/21198/z1gj1f49,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1f49
ark:/21198/z1w68cw8,ark:/21198/z1hd9rvd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0028.tif,Page,Page 28,28,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9rvd
ark:/21198/z1w68cw8,ark:/21198/z1j69d1r,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0051.tif,Page,Page 51,51,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69d1r
ark:/21198/z1w68cw8,ark:/21198/z1j983m9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0020.tif,Page,Page 20,20,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j983m9
ark:/21198/z1w68cw8,ark:/21198/z1k66f8g,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0043.tif,Page,Page 43,43,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66f8g
ark:/21198/z1w68cw8,ark:/21198/z1k954ps,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0012.tif,Page,Page 12,12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k954ps
ark:/21198/z1w68cw8,ark:/21198/z1m63ggr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0035.tif,Page,Page 35,35,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63ggr
ark:/21198/z1w68cw8,ark:/21198/z1m925sq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m925sq
ark:/21198/z1w68cw8,ark:/21198/z1n31t4x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0027.tif,Page,Page 27,27,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31t4x
ark:/21198/z1w68cw8,ark:/21198/z1p004th,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0050.tif,Page,Page 50,50,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p004th
ark:/21198/z1w68cw8,ark:/21198/z1p28v96,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0019.tif,Page,Page 19,19,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28v96
ark:/21198/z1w68cw8,ark:/21198/z1pz760w,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0042.tif,Page,Page 42,42,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz760w
ark:/21198/z1w68cw8,ark:/21198/z1q25wcp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25wcp
ark:/21198/z1w68cw8,ark:/21198/z1qv5hqj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0034.tif,Page,Page 34,34,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5hqj
