Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z10k42nm,ark:/21198/z1b874x5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0039.tif,Page,Page 39,39,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b874x5
ark:/21198/z10k42nm,ark:/21198/z1bc5vbh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5vbh
ark:/21198/z10k42nm,ark:/21198/z1c26s8c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0062.tif,Page,Page 62,62,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26s8c
ark:/21198/z10k42nm,ark:/21198/z1c8462z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0031.tif,Page,Page 31,31,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c8462z
ark:/21198/z10k42nm,ark:/21198/z1d23tf6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0054.tif,Page,Page 54,54,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23tf6
ark:/21198/z10k42nm,ark:/21198/z1d52hqq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0023.tif,Page,Page 23,23,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d52hqq
ark:/21198/z10k42nm,ark:/21198/z1f20vhp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0046.tif,Page,Page 46,46,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20vhp
ark:/21198/z10k42nm,ark:/21198/z1f49jxf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49jxf
ark:/21198/z10k42nm,ark:/21198/z1g17wkm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0038.tif,Page,Page 38,38,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17wkm
ark:/21198/z10k42nm,ark:/21198/z1g46m5k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46m5k
