Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1ns2n1s,ark:/21198/z11k1761,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k1761
ark:/21198/z1ns2n1s,ark:/21198/z15b1zv2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1zv2
ark:/21198/z1ns2n1s,ark:/21198/z1932qjb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932qjb
ark:/21198/z1ns2n1s,ark:/21198/z1dv3g96,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3g96
ark:/21198/z1ns2n1s,ark:/21198/z1jm473t,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm473t
ark:/21198/z1ns2n1s,ark:/21198/z1pc4zs9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4zs9
ark:/21198/z1ns2n1s,ark:/21198/z1s48pcn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48pcn
ark:/21198/z1ns2n1s,ark:/21198/z1t17133,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17133
ark:/21198/z1ns2n1s,ark:/21198/z1wt0qpw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0042_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0qpw
