"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017sh05","ark:/21198/zz0017sgz5","2","Completed","Page","wavav/images/masters/21198-zz0017sh05_725508_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sh05"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shkz","ark:/21198/zz0017sh1p","2","Completed","Page","wavav/images/masters/21198-zz0017shkz_725525_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shkz"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shmg","ark:/21198/zz0017sh1p","2","Completed","Page","wavav/images/masters/21198-zz0017shmg_725531_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shmg"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shn0","ark:/21198/zz0017sh1p","2","Completed","Page","wavav/images/masters/21198-zz0017shn0_725534_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shn0"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shph","ark:/21198/zz0017sh1p","2","Completed","Page","wavav/images/masters/21198-zz0017shph_725538_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shph"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shq1","ark:/21198/zz0017sh26","2","Completed","Page","wavav/images/masters/21198-zz0017shq1_725547_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shq1"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shrj","ark:/21198/zz0017sh3q","2","Completed","Page","wavav/images/masters/21198-zz0017shrj_725551_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shrj"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shs2","ark:/21198/zz0017sh47","2","Completed","Page","wavav/images/masters/21198-zz0017shs2_725559_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shs2"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shtk","ark:/21198/zz0017sh5r","2","Completed","Page","wavav/images/masters/21198-zz0017shtk_725571_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shtk"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shv3","ark:/21198/zz0017sh68","2","Completed","Page","wavav/images/masters/21198-zz0017shv3_725595_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shv3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shwm","ark:/21198/zz0017sh68","2","Completed","Page","wavav/images/masters/21198-zz0017shwm_725598_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shwm"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017shx4","ark:/21198/zz0017sh68","2","Completed","Page","wavav/images/masters/21198-zz0017shx4_725601_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017shx4"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017sj0n","ark:/21198/zz0017sh7s","2","Completed","Page","wavav/images/masters/21198-zz0017sj0n_725604_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sj0n"
