"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Visibility","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.actor","Name.director","Name.subject","Name.producer","Name.photographer","Name.costumeDesigner","Name.distributor","Subject.descriptiveTopic","AltTitle.uniform","Language","Name.repository","Name.cinematographer","Subject","Subject.geographicPlace","Name.artDirector","Name.setDesigner","Alt ID.local","Format.extent","Format.dimensions","Title","Date.normalized","Description.caption","Date.creation","Description.note","AltTitle.other","AltTitle.uniform","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Motion Picture Stills, 1903-. Collection 195","ark:/21198/zz0028582j/4209jk3b","ark:/21198/zz0028582j","","","Page","mpstills/masters/pasc_195_1124_20_31.tif","1","","","","","private","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028582j%2F4209jk3b",""
"Motion Picture Stills, 1903-. Collection 195","ark:/21198/zz0028582j/ng02w46b","ark:/21198/zz0028582j","","","Page","mpstills/masters/pasc_195_1124_20_31_back.tif","2","","","","","private","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028582j%2Fng02w46b",""
