Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Name.sponsor,Name.subject,Name.publisher,Rights.servicesContact,Subject.conceptTopic,Type.genre,Language,Name.repository,Name.designer,Subject.uniformTitle,Name.photographer,Name.creator,Subject.geographicPlace,Coverage.geographic,Description.note,Date.normalized,Publisher.placeOfOrigin,Title,Date.creation,Alt ID.local,Format.extent,Description.caption,AltTitle.parallel,AltTitle.other,Publisher.publisherName,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Ethiopian Posters,ark:/21198/zz002hh0mb/gt33dh9j,ark:/21198/zz002hh0mb,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_008a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0mb%2Fgt33dh9j
Ethiopian Posters,ark:/21198/zz002hh0mb/kf454515,ark:/21198/zz002hh0mb,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_008.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0mb%2Fkf454515
Ethiopian Posters,ark:/21198/zz002hh0pc/p5908f7z,ark:/21198/zz002hh0pc,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_009a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0pc%2Fp5908f7z
Ethiopian Posters,ark:/21198/zz002hh0pc/s699c10b,ark:/21198/zz002hh0pc,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_009.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0pc%2Fs699c10b
Ethiopian Posters,ark:/21198/zz002hh0rd/jx334b77,ark:/21198/zz002hh0rd,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_010.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0rd%2Fjx334b77
Ethiopian Posters,ark:/21198/zz002hh0rd/zh17xw7n,ark:/21198/zz002hh0rd,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_010a.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0rd%2Fzh17xw7n
Ethiopian Posters,ark:/21198/zz002hh0tf/f7548362,ark:/21198/zz002hh0tf,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_011a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0tf%2Ff7548362
Ethiopian Posters,ark:/21198/zz002hh0tf/tx60h19v,ark:/21198/zz002hh0tf,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_011.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0tf%2Ftx60h19v
Ethiopian Posters,ark:/21198/zz002hh0wg/k1820j0f,ark:/21198/zz002hh0wg,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_012.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0wg%2Fk1820j0f
Ethiopian Posters,ark:/21198/zz002hh0wg/t183cq05,ark:/21198/zz002hh0wg,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_012a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0wg%2Ft183cq05
