Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract,IIIF Manifest URL
Cruikshank (Margaret) Collection,ark:/21198/zz0019s22r,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tp2w,text,copyrighted,Y,unknown,San Francisco (Calif.),,"Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians--Stereotypes|~|Lesbians--Stereotypes--Film|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism",,,,individuals,,,,"""Word is Out: Stories of Some of Our Lives"" - Published Film Review",1979/1986,Between 1979 and 1986,Rights.statementLocal: Unsure where this review was published.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019s22r/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp80,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tp9h,text,copyrighted,Y,unpublished,San Francisco (Calif.),,"Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",Feminist Press|~|City College of San Francisco|~|Grey Fox Press,,,individuals,,,,Lesbian and Feminist Publishing - City College San Francisco Panel Talk,1979/1986,Between 1979 and 1986,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tp80/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpd2,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpfk,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians in literature|~|Lesbians' writings, American--History and criticism|~|Feminism--England--History|~|Lesbian studies|~|Feminism--History--19th century","Bodichon, [Eugène], 1810?-1885|~|Bodichon, Barbara Leigh Smith, 1827-1891",,,individuals,,,,"""Barbara Bodichon: Victorian Feminist"" - Unpublished Article",1978/1985,Between 1978 and 1985,"Unpublished paper cited by Dale Spender in ""Feminist Theorists.""",,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tpd2/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tq8g,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tq90,text,copyrighted,N,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Nuns--Sexual behavior|~|Lesbian studies|~|Lesbians--United States--Interviews","Manahan, Nancy, 1946- |~|Curb, Rosemary, 1940-",,,individuals,,private,,"""A Conversation with Jane and Bonnie"" - Unpublished Interview",1978/1985,Between 1978 and 1985,"Interview for Barbara Zanutti's book ""A Faith of One's Own: Catholic Lesbians."" The nun interviewed later changed her mind about publishing it.|~|Rights.statementLocal: Need to obtain permission to publish from interviewee.",,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tq8g/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqmn,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tsc0,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,Published and Unpublished Papers Authored by Cruikshank|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbian studies,"Faderman, Lillian|~|Yeazell, Ruth Bernard|~|James, Alice, 1848-1892",,,individuals,,,,"""The Death and Letters of Alice James"" - Unpublished Book Review",1978/1985,Between 1978 and 1985,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tqmn/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsk3,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tsn4,text,copyrighted,Y,unpublished,United States,"Manahan, Nancy, 1946- |~|Curb, Rosemary, 1940-","Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Nuns--Sexual behavior|~|Lesbian studies|~|Lesbians--United States--Interviews",,,"Manahan, Nancy, 1946- |~|Curb, Rosemary, 1940-",individuals,,,,"""Lesbian Former Nuns"" - Corrected Interview Transcript",1981/1985,Between 1981 and 1985,"Rights.statementLocal: Interview in its final form was published in Gay News (Nov. 12-25, 1982): 17. Page 5 is missing.",,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tsk3/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tvmk,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019w4sx,text,copyrighted,Y,published,United States,,"Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians--Legal status, laws, etc.|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbian studies",Off Our Backs: The Feminist Newsjournal|~|University of San Francisco,,,individuals,,,,"""Fired or Not Rehired"" - Published Article",1982-05,"May, 1982",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tvmk/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019wdp7,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wj9g,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Published and Unpublished Papers Authored by Cruikshank|~|Lesbians--Legal status, laws, etc.|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbian studies",University of San Francisco,,,individuals,,,,"""Fired or Not Rehired"" - Original Manuscript",1981,1981,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019wdp7/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001b25fw,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001b2q81,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,Published and Unpublished Papers Authored by Cruikshank|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbian studies,Modern Language Association,,,individuals,,,,Presentation for the Modern Language Association Gay Studies Panel,1982-12-29,"December 29, 1982",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001b25fw/manifest
