Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,Bucketeer State,IIIF Access URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jfd/bt33dv7d,ark:/21198/zz00297jfd,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jfd_1976463_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jfd%2Fbt33dv7d
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jgx/hc26j25x,ark:/21198/zz00297jgx,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jgx_1976471_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jgx%2Fhc26j25x
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jgx/hf06tm26,ark:/21198/zz00297jgx,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jgx_1976466_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jgx%2Fhf06tm26
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jp1/gj20xc0t,ark:/21198/zz00297jp1,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jp1_1976492_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jp1%2Fgj20xc0t
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jp1/z727df63,ark:/21198/zz00297jp1,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jp1_1976489_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jp1%2Fz727df63
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jqj/2j149744,ark:/21198/zz00297jqj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jqj_1976498_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jqj%2F2j149744
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jqj/tp74h80c,ark:/21198/zz00297jqj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jqj_1976495_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jqj%2Ftp74h80c
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jr2/pb18zh7m,ark:/21198/zz00297jr2,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jr2_1976501_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jr2%2Fpb18zh7m
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jr2/st46tm6f,ark:/21198/zz00297jr2,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297jr2_1976504_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jr2%2Fst46tm6f
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/8068fj1h,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976943_master.tif,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pnf%2F8068fj1h
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/gm02qp34,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976956_master.tif,4,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pnf%2Fgm02qp34
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/j051fj07,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976927_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pnf%2Fj051fj07
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf/jk96117f,ark:/21198/zz00297pnf,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976936_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pnf%2Fjk96117f
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pvj/0b39nd3d,ark:/21198/zz00297pvj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pvj_1977290_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pvj%2F0b39nd3d
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pvj/1p83c37s,ark:/21198/zz00297pvj,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz00297pvj_1977011_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pvj%2F1p83c37s
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fbp/hw76qp5t,ark:/21198/zz002b0fbp,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fbp_1977309_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fbp%2Fhw76qp5t
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fbp/rx95jp6r,ark:/21198/zz002b0fbp,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fbp_1977321_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fbp%2Frx95jp6r
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0ff7/mr04sx95,ark:/21198/zz002b0ff7,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0ff7_1977421_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0ff7%2Fmr04sx95
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0ff7/tz77n303,ark:/21198/zz002b0ff7,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0ff7_1977357_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0ff7%2Ftz77n303
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fh8/kz44rv9c,ark:/21198/zz002b0fh8,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fh8_1977372_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fh8%2Fkz44rv9c
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fh8/z2371934,ark:/21198/zz002b0fh8,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fh8_1977431_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fh8%2Fz2371934
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fjs/f699k284,ark:/21198/zz002b0fjs,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fjs_1977388_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fjs%2Ff699k284
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fjs/gh51sn98,ark:/21198/zz002b0fjs,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0fjs_1977456_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fjs%2Fgh51sn98
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0hrv/js367651,ark:/21198/zz002b0hrv,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0hrv_1977496_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0hrv%2Fjs367651
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0hrv/tj824g42,ark:/21198/zz002b0hrv,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0hrv_1977531_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0hrv%2Ftj824g42
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j1g/bn84j89j,ark:/21198/zz002b0j1g,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j1g_1977558_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0j1g%2Fbn84j89j
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j1g/nx70db6t,ark:/21198/zz002b0j1g,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j1g_1977561_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0j1g%2Fnx70db6t
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j41/4j554d9m,ark:/21198/zz002b0j41,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j41_1977641_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0j41%2F4j554d9m
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j41/gf26b765,ark:/21198/zz002b0j41,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0j41_1977648_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0j41%2Fgf26b765
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0jhq/p050g280,ark:/21198/zz002b0jhq,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0jhq_1977712_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0jhq%2Fp050g280
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0jhq/rq85gs7p,ark:/21198/zz002b0jhq,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0jhq_1977709_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0jhq%2Frq85gs7p
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mwc/5s14xw42,ark:/21198/zz002b0mwc,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mwc_1977897_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0mwc%2F5s14xw42
