"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tps","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tps-1-master.tif","15","","","","","","","","","","pd","","","","","15","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tps",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tq9","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tq9-1-master.tif","16","","","","","","","","","","pd","","","","","16","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tq9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0trt","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0trt-1-master.tif","17","","","","","","","","","","pd","","","","","17","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0trt",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tsb","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tsb-1-master.tif","18","","","","","","","","","","pd","","","","","18","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tsb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0ttv","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0ttv-1-master.tif","19","","","","","","","","","","pd","","","","","19","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0ttv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tvc","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tvc-1-master.tif","20","","","","","","","","","","pd","","","","","20","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tvc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tww","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tww-1-master.tif","21","","","","","","","","","","pd","","","","","21","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tww",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0txd","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0txd-1-master.tif","22","","","","","","","","","","pd","","","","","22","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0txd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tzx","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tzx-1-master.tif","23","","","","","","","","","","pd","","","","","23","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tzx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v0x","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v0x-1-master.tif","24","","","","","","","","","","pd","","","","","24","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v0x",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v1f","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v1f-1-master.tif","25","","","","","","","","","","pd","","","","","25","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v1f",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v2z","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v2z-1-master.tif","26","","","","","","","","","","pd","","","","","26","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v2z",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v3g","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v3g-1-master.tif","27","","","","","","","","","","pd","","","","","27","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v3g",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v40","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v40-1-master.tif","28","","","","","","","","","","pd","","","","","28","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v40",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v5h","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v5h-1-master.tif","29","","","","","","","","","","pd","","","","","29","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v5h",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v61","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v61-1-master.tif","30","","","","","","","","","","pd","","","","","30","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v61",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0v7j","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0v7j-1-master.tif","31","","","","","","","","","","pd","","","","","31","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0v7j",""
