"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzqfv","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzqfv-1-master.tif","15","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 15","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzqfv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzqgc","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzqgc-1-master.tif","16","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 16","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzqgc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzqhw","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzqhw-1-master.tif","17","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 17","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzqhw",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzqjd","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzqjd-1-master.tif","18","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 18","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzqjd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzqkx","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzqkx-1-master.tif","19","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 19","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzqkx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzqmf","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzqmf-1-master.tif","20","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 20","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzqmf",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr0m","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr0m-1-master.tif","21","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 21","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr0m",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr14","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr14-1-master.tif","22","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 22","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr14",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr2n","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr2n-1-master.tif","23","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 23","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr2n",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr35","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr35-1-master.tif","24","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 24","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr35",""
