"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpf89","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpf89_1298743_master.tif","17","","","","","","","","","","pd","","","","","MS 62 folio 8","r","","","ms_62_0014","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpf89",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpf9t","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpf9t_1298749_master.tif","18","","","","","","","","manuscripts (document genre)","","pd","","","","","MS 62 folio 8v","v","","","ms_62_0015","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpf9t",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfbb","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfbb_1298754_master.tif","19","","","","","","","","manuscripts (document genre)","","pd","","","","","MS 62 folio 9","r","","","ms_62_0015","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfbb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfcv","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfcv_1298776_master.tif","20","","","","","","","","manuscripts (document genre)","","pd","","","","","MS 62 folio 9v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfcv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfdc","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfdc_1298822_master.tif","21","","","","","","","","manuscripts (document genre)","","pd","","","","","MS 62 folio 10","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfdc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpffw","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpffw_1298843_master.tif","22","","","","","","","","manuscripts (document genre)","","pd","","","","","MS 62 folio 10v","v","","","ms_62_0019","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpffw",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfgd","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfgd_1298879_master.tif","23","","","","","","","","manuscripts (document genre)","","pd","","","","","MS 62 folio 11","r","","","ms_62_0020","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfgd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfhx","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfhx_1299103_master.tif","24","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 62 folio 11v","r","","","ms_62_0021","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfhx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfjf","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfjf_1299107_master.tif","25","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 62 folio 12","r","","","ms_62_0022","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfjf",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpfkz","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpfkz_1299122_master.tif","26","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 62 folio 12v","v","","","ms_62_0023","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpfkz",""
