File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource,Bucketeer State,IIIF Access URL
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_001.tif,Page,Front cover,1,ark:/21198/n1v328,ark:/21198/n1v328/fx532f6z,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2Ffx532f6z
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_002.tif,Page,Inside front cover,2,ark:/21198/n1v328,ark:/21198/n1v328/1549w47p,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2F1549w47p
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_003.tif,Page,Page 1,3,ark:/21198/n1v328,ark:/21198/n1v328/kv41t07w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2Fkv41t07w
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_004.tif,Page,Page 2,4,ark:/21198/n1v328,ark:/21198/n1v328/8v623d2x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2F8v623d2x
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_005.tif,Page,Page 3,5,ark:/21198/n1v328,ark:/21198/n1v328/0027255h,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2F0027255h
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_006.tif,Page,Page 4,6,ark:/21198/n1v328,ark:/21198/n1v328/3f09zr1b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2F3f09zr1b
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_007.tif,Page,Page 5,7,ark:/21198/n1v328,ark:/21198/n1v328/qt586p1d,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2Fqt586p1d
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_008.tif,Page,Page 6,8,ark:/21198/n1v328,ark:/21198/n1v328/0p25889q,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2F0p25889q
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_009.tif,Page,Page 7,9,ark:/21198/n1v328,ark:/21198/n1v328/5r555w0c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2F5r555w0c
Masters/othermasters/dl_toganoo/masters/ucla_2002310/ucla_2002310_010.tif,Page,Page 8,10,ark:/21198/n1v328,ark:/21198/n1v328/g0625x8m,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1v328%2Fg0625x8m
