Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rrx7,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rrzr,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 1","September, 1981",,,,1981-09,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rrx7/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rs18,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rs2s,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 1","January, 1982",,,,1982-01,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rs18/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rs4t,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rs5b,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 2","March, 1982",,,,1982-03,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rs4t/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rs7c,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rs8w,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 3","May, 1982",,,,1982-05,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rs7c/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsbx,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rscf,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 4","July, 1982",,,,1982-07,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsbx/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsfg,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rsg0,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 3, Number 5","September, 1982",,,,1982-09,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsfg/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsj1,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rskj,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 4, Number 6","November, 1982",,,,1982-11,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsj1/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsnk,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rsp3,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 7","January, 1983",,,,1983-01,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsnk/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsr4,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rssn,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 6, Number 8","March, 1983",,,,1983-03,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsr4/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsvp,ark:/21198/zz000s2z5v,2,Completed,Work,,11,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rsw6,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 7, Number 9","May, 1983",,,,1983-05,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsvp/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rsz7,ark:/21198/zz000s2z5v,2,Completed,Work,,12,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rt3s,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 8, Number 10","July, 1983",,,,1983-07,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rsz7/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rt07,ark:/21198/zz000s2z5v,2,Completed,Work,,13,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rt7v,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 10, Number 11","September, 1983",,,,1983-09,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rt07/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rt1r,ark:/21198/zz000s2z5v,2,Completed,Work,,14,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rt9w,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 11, Number 12","November, 1983",,,,1983-11,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rt1r/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rt28,ark:/21198/zz000s2z5v,2,Completed,Work,,15,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtbd,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 4, Number 1","January-February, 1984",,,,1984-01/1984-02,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rt28/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rt6b,ark:/21198/zz000s2z5v,2,Completed,Work,,16,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtdf,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 4, Number 2","March-April, 1984",,,,1984-03/1984-04,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rt6b/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rtgg,ark:/21198/zz000s2z5v,2,Completed,Work,,17,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtk1,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"August, 1984","August, 1984",,,,1984-08,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rtgg/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rth0,ark:/21198/zz000s2z5v,2,Completed,Work,,18,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtmj,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 4, Number 5","September-October, 1984",,,,1984-09/1984-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rth0/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rtjh,ark:/21198/zz000s2z5v,2,Completed,Work,,19,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtpk,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 4, Number 6","November-December, 1984",,,,1984-11/1984-12,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rtjh/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rtrm,ark:/21198/zz000s2z5v,2,Completed,Work,,20,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtv5,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 1","January-February, 1985",,,,1985-01/1985-02,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rtrm/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rtx6,ark:/21198/zz000s2z5v,2,Completed,Work,,21,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rtzq,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 2","March-April, 1985",,,,1985-03/1985-04,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rtx6/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rv17,ark:/21198/zz000s2z5v,2,Completed,Work,,22,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rv2r,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 3","May-June, 1985",,,,1985-05/1985-06,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rv17/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rv4s,ark:/21198/zz000s2z5v,2,Completed,Work,,23,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rv59,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 4","July-August, 1985",,,,1985-07/1985-08,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rv4s/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rv7b,ark:/21198/zz000s2z5v,2,Completed,Work,,24,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rv8v,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 5","September-October, 1985",,,,1985-09/1985-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rv7b/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rvbw,ark:/21198/zz000s2z5v,2,Completed,Work,,25,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rvcd,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 6","November-December, 1985",,,,1985-11/1985-12,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rvbw/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rvff,ark:/21198/zz000s2z5v,2,Completed,Work,,26,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rvgz,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 6, Number 1","January-February, 1986",,,,1986-01/1986-02,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rvff/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rvj0,ark:/21198/zz000s2z5v,2,Completed,Work,,28,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rvkh,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 6, Number 2","March-April, 1986",,,,1986-03/1986-04,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rvj0/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rvqk,ark:/21198/zz000s2z5v,2,Completed,Work,,29,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rvr3,text,,copyrighted,Y,published,Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,San Gabriel Valley Quilt [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 6, Number 3","May-June, 1986",,,,1986-05/1986-06,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rvqk/manifest
