"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz00252zsg/rz38bp2p","ark:/21198/zz00252zsg","","","Page","leung/21198-zz00252zsg_1558783_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zsg%2Frz38bp2p",""
"Tom Leung Collection","ark:/21198/zz00252zsg/v7347p9j","ark:/21198/zz00252zsg","","","Page","leung/21198-zz00252zsg_1558788_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zsg%2Fv7347p9j",""
