"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz0023193p/1m988f9b","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557810_master.tif","12","","","","","","","","Page 12","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F1m988f9b",""
"Tom Leung Collection","ark:/21198/zz0023193p/2g915b11","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557781_master.tif","9","","","","","","","","Page 9","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F2g915b11",""
"Tom Leung Collection","ark:/21198/zz0023193p/6450mm00","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557737_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F6450mm00",""
"Tom Leung Collection","ark:/21198/zz0023193p/7504662g","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557757_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F7504662g",""
"Tom Leung Collection","ark:/21198/zz0023193p/9s42cs3s","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557803_master.tif","11","","","","","","","","Page 11","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F9s42cs3s",""
"Tom Leung Collection","ark:/21198/zz0023193p/bm46b63s","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557760_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fbm46b63s",""
"Tom Leung Collection","ark:/21198/zz0023193p/db86686r","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557766_master.tif","7","","","","","","","","Page 7","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fdb86686r",""
"Tom Leung Collection","ark:/21198/zz0023193p/fz160b6s","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557786_master.tif","10","","","","","","","","Page 10","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Ffz160b6s",""
"Tom Leung Collection","ark:/21198/zz0023193p/kn296k3d","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557751_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fkn296k3d",""
"Tom Leung Collection","ark:/21198/zz0023193p/pr99t83k","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557776_master.tif","8","","","","","","","","Page 8","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fpr99t83k",""
"Tom Leung Collection","ark:/21198/zz0023193p/ps734b59","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557746_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fps734b59",""
"Tom Leung Collection","ark:/21198/zz0023193p/zg084p66","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557740_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fzg084p66",""
