"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz00253sdt/fb669s2s","ark:/21198/zz00253sdt","","","Page","leung/21198-zz00253sdt_1559947_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253sdt%2Ffb669s2s",""
"Tom Leung Collection","ark:/21198/zz00253sdt/nh463h54","ark:/21198/zz00253sdt","","","Page","leung/21198-zz00253sdt_1559950_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253sdt%2Fnh463h54",""
