"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz002532sc/fx09xg0v","ark:/21198/zz002532sc","","","Page","leung/21198-zz002532sc_1559427_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532sc%2Ffx09xg0v",""
"Tom Leung Collection","ark:/21198/zz002532sc/ns271s08","ark:/21198/zz002532sc","","","Page","leung/21198-zz002532sc_1559424_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532sc%2Fns271s08",""
