"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz0025304k/2481hq1r","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558926_master.tif","10","","","","","","","","Page 10","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2F2481hq1r",""
"Tom Leung Collection","ark:/21198/zz0025304k/5740cb0h","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558923_master.tif","9","","","","","","","","Page 9","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2F5740cb0h",""
"Tom Leung Collection","ark:/21198/zz0025304k/8k27kr1b","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558908_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2F8k27kr1b",""
"Tom Leung Collection","ark:/21198/zz0025304k/90548p7s","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558919_master.tif","8","","","","","","","","Page 8","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2F90548p7s",""
"Tom Leung Collection","ark:/21198/zz0025304k/bk46p71x","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558890_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2Fbk46p71x",""
"Tom Leung Collection","ark:/21198/zz0025304k/cn97kw4s","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558911_master.tif","7","","","","","","","","Page 7","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2Fcn97kw4s",""
"Tom Leung Collection","ark:/21198/zz0025304k/hg71p09f","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558897_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2Fhg71p09f",""
"Tom Leung Collection","ark:/21198/zz0025304k/n4340h92","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558903_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2Fn4340h92",""
"Tom Leung Collection","ark:/21198/zz0025304k/pj59q36c","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558894_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2Fpj59q36c",""
"Tom Leung Collection","ark:/21198/zz0025304k/vv25v496","ark:/21198/zz0025304k","","","Page","leung/21198-zz0025304k_1558887_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025304k%2Fvv25v496",""
