"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz00252zvh/g652sk7g","ark:/21198/zz00252zvh","","","Page","leung/21198-zz00252zvh_1558806_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zvh%2Fg652sk7g",""
"Tom Leung Collection","ark:/21198/zz00252zvh/gz01bf77","ark:/21198/zz00252zvh","","","Page","leung/21198-zz00252zvh_1558803_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zvh%2Fgz01bf77",""
"Tom Leung Collection","ark:/21198/zz00252zvh/nb50nn99","ark:/21198/zz00252zvh","","","Page","leung/21198-zz00252zvh_1558809_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zvh%2Fnb50nn99",""
