"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz002319tj/1612rk94","ark:/21198/zz002319tj","","","Page","leung/21198-zz002319tj_1557987_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2F1612rk94",""
"Tom Leung Collection","ark:/21198/zz002319tj/cg47bf6r","ark:/21198/zz002319tj","","","Page","leung/21198-zz002319tj_1557976_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2Fcg47bf6r",""
"Tom Leung Collection","ark:/21198/zz002319tj/x142452x","ark:/21198/zz002319tj","","","Page","leung/21198-zz002319tj_1557972_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2Fx142452x",""
