"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL"
"Tom Leung Collection","ark:/21198/zz0023138c/b901s55d","ark:/21198/zz0023138c","","","Page","leung/21198-zz0023138c_1557638_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023138c%2Fb901s55d"
"Tom Leung Collection","ark:/21198/zz0023138c/wf56np58","ark:/21198/zz0023138c","","","Page","leung/21198-zz0023138c_1557049_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023138c%2Fwf56np58"
"Tom Leung Collection","ark:/21198/zz0023138c/x7205j01","ark:/21198/zz0023138c","","","Page","leung/21198-zz0023138c_1557644_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023138c%2Fx7205j01"
"Tom Leung Collection","ark:/21198/zz00231658/2s17wq7b","ark:/21198/zz00231658","","","Page","leung/21198-zz00231658_1557091_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231658%2F2s17wq7b"
"Tom Leung Collection","ark:/21198/zz00231658/6t778g15","ark:/21198/zz00231658","","","Page","leung/21198-zz00231658_1557094_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231658%2F6t778g15"
"Tom Leung Collection","ark:/21198/zz0023168t/nm006t41","ark:/21198/zz0023168t","","","Page","leung/21198-zz0023168t_1557109_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023168t%2Fnm006t41"
"Tom Leung Collection","ark:/21198/zz0023168t/p708k309","ark:/21198/zz0023168t","","","Page","leung/21198-zz0023168t_1557103_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023168t%2Fp708k309"
"Tom Leung Collection","ark:/21198/zz0023168t/qr77wc4h","ark:/21198/zz0023168t","","","Page","leung/21198-zz0023168t_1557106_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023168t%2Fqr77wc4h"
"Tom Leung Collection","ark:/21198/zz0023168t/t775jx56","ark:/21198/zz0023168t","","","Page","leung/21198-zz0023168t_1557112_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023168t%2Ft775jx56"
"Tom Leung Collection","ark:/21198/zz002316fd/2488h349","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557127_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2F2488h349"
"Tom Leung Collection","ark:/21198/zz002316fd/2n12xh70","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557226_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2F2n12xh70"
"Tom Leung Collection","ark:/21198/zz002316fd/3v00v61c","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557130_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2F3v00v61c"
"Tom Leung Collection","ark:/21198/zz002316fd/7196kw3n","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557218_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2F7196kw3n"
"Tom Leung Collection","ark:/21198/zz002316fd/9t275613","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557232_master.tif","7","","","","","","","","Page 7","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2F9t275613"
"Tom Leung Collection","ark:/21198/zz002316fd/bb23qw08","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557265_master.tif","13","","","","","","","","Page 13","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fbb23qw08"
"Tom Leung Collection","ark:/21198/zz002316fd/cq55q388","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557215_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fcq55q388"
"Tom Leung Collection","ark:/21198/zz002316fd/hn64g83h","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557239_master.tif","8","","","","","","","","Page 8","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fhn64g83h"
"Tom Leung Collection","ark:/21198/zz002316fd/q121kj8z","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557254_master.tif","11","","","","","","","","Page 11","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fq121kj8z"
"Tom Leung Collection","ark:/21198/zz002316fd/qq97687h","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557251_master.tif","10","","","","","","","","Page 10","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fqq97687h"
"Tom Leung Collection","ark:/21198/zz002316fd/sn225q9n","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557243_master.tif","9","","","","","","","","Page 9","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fsn225q9n"
"Tom Leung Collection","ark:/21198/zz002316fd/vs566002","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557259_master.tif","12","","","","","","","","Page 12","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fvs566002"
"Tom Leung Collection","ark:/21198/zz002316fd/xv49sr0m","ark:/21198/zz002316fd","","","Page","leung/21198-zz002316fd_1557211_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002316fd%2Fxv49sr0m"
"Tom Leung Collection","ark:/21198/zz00231768/0f90sg0c","ark:/21198/zz00231768","","","Page","leung/21198-zz00231768_1557296_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231768%2F0f90sg0c"
"Tom Leung Collection","ark:/21198/zz00231768/kt49mq7b","ark:/21198/zz00231768","","","Page","leung/21198-zz00231768_1557313_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231768%2Fkt49mq7b"
"Tom Leung Collection","ark:/21198/zz00231768/mv00qk4m","ark:/21198/zz00231768","","","Page","leung/21198-zz00231768_1557300_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231768%2Fmv00qk4m"
"Tom Leung Collection","ark:/21198/zz00231768/vn05wv7f","ark:/21198/zz00231768","","","Page","leung/21198-zz00231768_1557289_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231768%2Fvn05wv7f"
"Tom Leung Collection","ark:/21198/zz00231768/w043jv4j","ark:/21198/zz00231768","","","Page","leung/21198-zz00231768_1557317_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231768%2Fw043jv4j"
"Tom Leung Collection","ark:/21198/zz00231768/z628fb6p","ark:/21198/zz00231768","","","Page","leung/21198-zz00231768_1557307_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231768%2Fz628fb6p"
"Tom Leung Collection","ark:/21198/zz0023177s/sw32144c","ark:/21198/zz0023177s","","","Page","leung/21198-zz0023177s_1557332_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023177s%2Fsw32144c"
"Tom Leung Collection","ark:/21198/zz0023177s/ts64p14b","ark:/21198/zz0023177s","","","Page","leung/21198-zz0023177s_1557337_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023177s%2Fts64p14b"
"Tom Leung Collection","ark:/21198/zz002317cv/8c98r05r","ark:/21198/zz002317cv","","","Page","leung/21198-zz002317cv_1557374_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317cv%2F8c98r05r"
"Tom Leung Collection","ark:/21198/zz002317cv/gp28z514","ark:/21198/zz002317cv","","","Page","leung/21198-zz002317cv_1557385_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317cv%2Fgp28z514"
"Tom Leung Collection","ark:/21198/zz002317cv/pw53s683","ark:/21198/zz002317cv","","","Page","leung/21198-zz002317cv_1557380_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317cv%2Fpw53s683"
