"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz002532dp/0234mq62","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559379_master.tif","10","","","","","","","","Page 10","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F0234mq62",""
"Tom Leung Collection","ark:/21198/zz002532dp/2585r97m","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559385_master.tif","12","","","","","","","","Page 12","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F2585r97m",""
"Tom Leung Collection","ark:/21198/zz002532dp/2p85217d","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559355_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F2p85217d",""
"Tom Leung Collection","ark:/21198/zz002532dp/5m68831z","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559364_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F5m68831z",""
"Tom Leung Collection","ark:/21198/zz002532dp/5n31396t","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559367_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F5n31396t",""
"Tom Leung Collection","ark:/21198/zz002532dp/6f82jd2v","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559352_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F6f82jd2v",""
"Tom Leung Collection","ark:/21198/zz002532dp/6r242m6x","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559358_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F6r242m6x",""
"Tom Leung Collection","ark:/21198/zz002532dp/8c38144m","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559382_master.tif","11","","","","","","","","Page 11","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2F8c38144m",""
"Tom Leung Collection","ark:/21198/zz002532dp/fd20341w","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559373_master.tif","8","","","","","","","","Page 8","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Ffd20341w",""
"Tom Leung Collection","ark:/21198/zz002532dp/fd41kx49","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559391_master.tif","14","","","","","","","","Page 14","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Ffd41kx49",""
"Tom Leung Collection","ark:/21198/zz002532dp/q549vb0c","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559370_master.tif","7","","","","","","","","Page 7","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Fq549vb0c",""
"Tom Leung Collection","ark:/21198/zz002532dp/rp55j37f","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559394_master.tif","15","","","","","","","","Page 15","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Frp55j37f",""
"Tom Leung Collection","ark:/21198/zz002532dp/st219g59","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559361_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Fst219g59",""
"Tom Leung Collection","ark:/21198/zz002532dp/xd83h31h","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559388_master.tif","13","","","","","","","","Page 13","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Fxd83h31h",""
"Tom Leung Collection","ark:/21198/zz002532dp/z130jz5c","ark:/21198/zz002532dp","","","Page","leung/21198-zz002532dp_1559376_master.tif","9","","","","","","","","Page 9","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002532dp%2Fz130jz5c",""
