"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz00252zkc/2b74h562","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558713_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2F2b74h562",""
"Tom Leung Collection","ark:/21198/zz00252zkc/3889xz25","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558734_master.tif","8","","","","","","","","Page 8","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2F3889xz25",""
"Tom Leung Collection","ark:/21198/zz00252zkc/9988b76b","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558749_master.tif","13","","","","","","","","Page 13","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2F9988b76b",""
"Tom Leung Collection","ark:/21198/zz00252zkc/9r36rg9c","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558731_master.tif","7","","","","","","","","Page 7","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2F9r36rg9c",""
"Tom Leung Collection","ark:/21198/zz00252zkc/9v608r63","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558758_master.tif","14","","","","","","","","Page 14","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2F9v608r63",""
"Tom Leung Collection","ark:/21198/zz00252zkc/db60699n","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558725_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fdb60699n",""
"Tom Leung Collection","ark:/21198/zz00252zkc/gd37z882","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558746_master.tif","12","","","","","","","","Page 12","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fgd37z882",""
"Tom Leung Collection","ark:/21198/zz00252zkc/hb66cx33","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558719_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fhb66cx33",""
"Tom Leung Collection","ark:/21198/zz00252zkc/jq72sz8x","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558728_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fjq72sz8x",""
"Tom Leung Collection","ark:/21198/zz00252zkc/m1933965","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558716_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fm1933965",""
"Tom Leung Collection","ark:/21198/zz00252zkc/sh94f82s","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558737_master.tif","9","","","","","","","","Page 9","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fsh94f82s",""
"Tom Leung Collection","ark:/21198/zz00252zkc/x322hw95","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558740_master.tif","10","","","","","","","","Page 10","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fx322hw95",""
"Tom Leung Collection","ark:/21198/zz00252zkc/z677jv83","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558743_master.tif","11","","","","","","","","Page 11","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fz677jv83",""
"Tom Leung Collection","ark:/21198/zz00252zkc/zt649f3h","ark:/21198/zz00252zkc","","","Page","leung/21198-zz00252zkc_1558722_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zkc%2Fzt649f3h",""
